FIPS,County,t_cap,t_hh,t_rd,t_rsa,t_ttlh,t_retrofit,t_retro_yr,t_offshore,t_conf_atr,t_conf_loc,GEO_ID,STATE,COUNTY,NAME,LSAD,CENSUSAREA,geometry,Nameplate Capacity (in KW AC),Capacity_Latest,VIN,DC Fast,Level 1,Level 2,Number of Chargers,Matched CSI Application Number,Service Zip,System Size DC,System Size AC,Storage Capacity (kWh),Storage Size (kW AC),Inverter Size (kW AC),Installer Zip,CSLB Number,Electric Vehicle Count,Total System Cost,Itc Cost Basis,Generator Quantity 1,Generator Quantity 2,Generator Quantity 3,Generator Quantity 4,Generator Quantity 5,Generator Quantity 6,Generator Quantity 7,Generator Quantity 8,Generator Quantity 9,Generator Quantity 10,Generator Quantity 11,Generator Quantity 12,Generator Quantity 13,Generator Quantity 14,Generator Quantity 15,Generator Quantity 16,Generator Quantity 17,Generator Quantity 18,Inverter Quantity 1,Inverter Quantity 2,Inverter Quantity 3,Inverter Quantity 4,Inverter Quantity 5,Inverter Quantity 6,Inverter Quantity 7,Inverter Quantity 8,Inverter Quantity 9,Inverter Quantity 10,Inverter Quantity 11,Inverter Quantity 12,Inverter Quantity 13,Inverter Quantity 14,Inverter Quantity 15,Inverter Quantity 16,Inverter Quantity 17,Inverter Quantity 18,Inverter Quantity 19,Inverter Quantity 20,Inverter Quantity 21,Inverter Quantity 22,Inverter Quantity 23,Inverter Quantity 24,Previous Application,Previous Application Ids,VNEM ID,Generator Model 7,Generator Manufacturer 7,Generator Model 8,Generator Manufacturer 8,Generator Model 9,Generator Manufacturer 9,Generator Model 10,Generator Manufacturer 10,Generator Model 11,Generator Manufacturer 11,Generator Model 12,Generator Manufacturer 12,Generator Model 13,Generator Manufacturer 13,Generator Model 14,Generator Manufacturer 14,Generator Model 15,Generator Manufacturer 15,Generator Model 16,Generator Manufacturer 16,Generator Model 17,Generator Manufacturer 17,Generator Model 18,Generator Manufacturer 18,Inverter Model 10,Inverter Manufacturer 10,Inverter Model 11,Inverter Manufacturer 11,Inverter Model 12,Inverter Manufacturer 12,Inverter Model 13,Inverter Manufacturer 13,Inverter Model 14,Inverter Manufacturer 14,Inverter Model 15,Inverter Manufacturer 15,Inverter Model 16,Inverter Manufacturer 16,Inverter Model 17,Inverter Manufacturer 17,Inverter Model 18,Inverter Manufacturer 18,Inverter Model 19,Inverter Manufacturer 19,Inverter Model 20,Inverter Manufacturer 20,Inverter Model 21,Inverter Manufacturer 21,Inverter Model 22,Inverter Manufacturer 22,Inverter Model 23,Inverter Manufacturer 23,Inverter Model 24,Inverter Manufacturer 24,Installer Phone,Generator Model 6,Generator Manufacturer 6,Latitude,Longitude,GHI (kWh/m²/day),Wind Speed (10m) (m/s),Wind Speed (50m) (m/s)
06001,alameda,225785.0,14449.2,14626.0,934441.09,21771.3,0.0,0.0,0.0,984.0,984.0,0500000US06001,06,001,Alameda,County,739.017,"POLYGON ((-121.855762 37.484537, -122.045271 37.460276, -122.052648 37.459656, -122.081473 37.477838, -122.109574 37.497637, -122.116112 37.505386, -122.111344 37.50758, -122.111998 37.528851, -122.128688 37.560594, -122.133924 37.562885, -122.137524 37.567467, -122.144396 37.581866, -122.147014 37.588411, -122.145378 37.600846, -122.14636 37.607391, -122.152905 37.640771, -122.163049 37.667933, -122.170904 37.676114, -122.179085 37.680041, -122.197411 37.692804, -122.203971 37.697769, -122.213774 37.698695, -122.221628 37.705567, -122.246826 37.72193, -122.255989 37.735674, -122.257953 37.739601, -122.257134 37.745001, -122.252226 37.747619, -122.244938 37.750294, -122.242638 37.753744, -122.253753 37.761218, -122.264101 37.764667, -122.275408 37.76735, -122.286139 37.769458, -122.293996 37.770416, -122.304345 37.774632, -122.318909 37.77904, -122.329159 37.783173, -122.33079 37.78383, -122.330963 37.786035, -122.331748 37.796052, -122.33555 37.799538, -122.335675 37.799652, -122.333711 37.809797, -122.323567 37.823214, -122.317676 37.826814, -122.306222 37.827469, -122.303931 37.830087, -122.301313 37.847758, -122.310477 37.873938, -122.309986 37.892755, -122.313258 37.89701, -122.313496 37.897211, -122.310881 37.897825, -122.30618 37.898225, -122.185977 37.820726, -122.004228 37.770058, -122.010771 37.755127, -122.001071 37.739028, -121.977999 37.729579, -121.96077 37.718629, -121.910138 37.73046, -121.881567 37.737328, -121.623724 37.799291, -121.55916 37.818927, -121.556936 37.817218, -121.556655 37.542732, -121.471925 37.481783, -121.472648 37.48217, -121.855762 37.484537))",88567.747,2320.19,22318.0,1000.0,76.0,6662.0,7662.0,0.0,6785600374.0,574380.45,582034.726,374690.023,95588.194,610608.241,6031603829.0,57996285951.0,10754.0,1575890789.46,310368960.84,1676640.0,1547805.0,71628.0,69933.0,5486.0,5312.0,651.0,641.0,291.0,267.0,251.0,251.0,202.0,202.0,0.0,0.0,0.0,0.0,613645.0,570991.0,67454.0,66780.0,14033.0,13891.0,4836.0,4802.0,783.0,762.0,130.0,130.0,-78.0,-78.0,-2400.0,-2400.0,-5.0,-5.0,-12.0,-12.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.65051111478244,-121.9180429846114,5.235081967213115,3.443688524590164,4.7837978142076505
06003,,,,,,,,,,,,0500000US06003,06,003,Alpine,County,738.332,"POLYGON ((-120.072392 38.702767, -119.880303 38.864776, -119.904315 38.933324, -119.587679 38.714734, -119.587066 38.714345, -119.585437 38.713212, -119.619066 38.603529, -119.542862 38.499694, -119.639205 38.32688, -119.753481 38.416759, -119.884749 38.356185, -120.019951 38.433521, -120.072484 38.509869, -120.072392 38.702767))",230.0,,7.0,0.0,0.0,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.597250633187514,-119.8206530303875,5.263989071038251,2.564398907103825,4.098306010928962
06005,,,,,,,,,,,,0500000US06005,06,005,Amador,County,594.583,"POLYGON ((-120.995497 38.225405, -121.027084 38.300252, -121.027507 38.508292, -120.813554 38.562193, -120.627604 38.503143, -120.510596 38.511467, -120.301721 38.549109, -120.098322 38.709029, -120.072392 38.702767, -120.072484 38.509869, -120.380707 38.461042, -120.423215 38.473322, -120.893792 38.221277, -120.995497 38.225405))",5180.083,289.55,140.0,8.0,0.0,59.0,67.0,0.0,397439944.0,39515.43,38592.441,12882.81,5889.661,40157.601,361827080.0,3573762095.0,133.0,105324690.762,41888549.12,116607.0,105920.0,1452.0,1174.0,71.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38842.0,34134.0,5527.0,5346.0,881.0,869.0,355.0,353.0,25.0,25.0,172.0,172.0,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.44638950387103,-120.65111561975515,5.207732240437158,2.5956830601092897,4.032513661202186
06007,,,,,,,,,,,,0500000US06007,06,007,Butte,County,1636.464,"POLYGON ((-121.076695 39.597264, -121.149907 39.526446, -121.305122 39.519585, -121.333427 39.468729, -121.407527 39.339754, -121.62376 39.295621, -121.908269 39.303878, -121.890013 39.383864, -121.856532 39.536904, -121.994021 39.533926, -121.950951 39.715004, -122.046471 39.797648, -122.044865 39.883771, -121.804041 39.884344, -121.703241 39.98423, -121.646032 39.982527, -121.586407 40.100522, -121.436886 40.151905, -121.366818 40.086054, -121.430012 39.914833, -121.360516 39.84074, -121.076695 39.597264))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06009,,,,,,,,,,,,0500000US06009,06,009,Calaveras,County,1020.012,"POLYGON ((-120.652673 37.831422, -120.926449 38.077421, -120.93885 38.088321, -120.995497 38.225405, -120.893792 38.221277, -120.423215 38.473322, -120.380707 38.461042, -120.072484 38.509869, -120.019951 38.433521, -120.176177 38.374014, -120.504516 37.991144, -120.534814 37.991174, -120.514952 37.95339, -120.652673 37.831422))",5463.424,536.4,177.0,21.0,2.0,25.0,46.0,0.0,504585480.0,44534.879,43360.782,32306.506,7699.18,46059.986,450023244.0,4360978825.0,206.0,119283801.0,52022760.3,141379.0,131287.0,2729.0,2523.0,118.0,96.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60295.0,56077.0,7408.0,7224.0,1045.0,1037.0,190.0,189.0,83.0,83.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.20460680302323,-120.55413209680692,5.207732240437158,2.474453551912568,3.607158469945355
06011,,,,,,,,,,,,0500000US06011,06,011,Colusa,County,1150.731,"POLYGON ((-121.908269 39.303878, -121.945509 39.180959, -121.847964 39.070817, -121.835488 38.924481, -122.337967 38.923945, -122.340172 38.924246, -122.492215 39.054092, -122.476083 39.172609, -122.680927 39.238726, -122.775043 39.311778, -122.78509 39.382975, -122.739062 39.383266, -122.136006 39.385494, -122.136161 39.414499, -121.890013 39.383864, -121.908269 39.303878))",80547.091,724.0,32.0,19.0,0.0,28.0,47.0,0.0,217792734.0,48870.959,63362.172,4341.7,1384.208,45062.337,175789575.0,1803500740.0,53.0,87419845.66,22361786.06,159245.0,146171.0,4252.0,4090.0,251.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43985.0,38201.0,3971.0,3894.0,505.0,504.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.17757310996472,-122.237029613264,5.100792349726777,3.0203278688524593,4.575901639344262
06013,contra costa,113900.0,4730.0,5666.2,376906.01,7559.3,0.0,0.0,0.0,213.0,213.0,0500000US06013,06,013,Contra Costa,County,715.937,"POLYGON ((-121.910138 37.73046, -121.96077 37.718629, -121.977999 37.729579, -122.001071 37.739028, -122.010771 37.755127, -122.004228 37.770058, -122.185977 37.820726, -122.30618 37.898225, -122.310881 37.897825, -122.313496 37.897211, -122.32373 37.905845, -122.33453 37.908791, -122.35711 37.908791, -122.362346 37.904209, -122.367582 37.903882, -122.378709 37.905191, -122.385908 37.908136, -122.389181 37.9101, -122.39049 37.922535, -122.395071 37.927117, -122.401289 37.928426, -122.413725 37.937262, -122.417371 37.943513, -122.430087 37.963115, -122.42976 37.965405, -122.415361 37.963115, -122.411761 37.960497, -122.408383 37.957544, -122.399832 37.956009, -122.367582 37.978168, -122.361905 37.989991, -122.363001 37.994375, -122.366928 37.998458, -122.368891 38.007948, -122.367909 38.01253, -122.363655 38.014166, -122.359493 38.009941, -122.340093 38.003694, -122.331912 38.00533, -122.321112 38.012857, -122.315549 38.013511, -122.300823 38.010893, -122.283478 38.022674, -122.262861 38.0446, -122.262861 38.051473, -122.266669 38.06007, -122.123973 38.035717, -122.050386 38.060198, -121.869469 38.054519, -121.865189 38.059909, -121.862462 38.06603, -121.737824 38.02663, -121.679265 38.089319, -121.580022 38.094414, -121.579943 37.976113, -121.574823 37.973025, -121.569889 37.957495, -121.56364 37.94611, -121.561937 37.937612, -121.55987 37.920862, -121.569113 37.901521, -121.574849 37.885021, -121.575463 37.863118, -121.56937 37.858881, -121.561813 37.857135, -121.549517 37.856986, -121.538026 37.849622, -121.536595 37.844723, -121.538931 37.839563, -121.550971 37.831155, -121.556936 37.817218, -121.55916 37.818927, -121.623724 37.799291, -121.881567 37.737328, -121.910138 37.73046))",279897.33900000004,6827.4400000000005,14732.0,455.0,4.0,2111.0,2566.0,0.0,7917568197.0,676441.156,658703.113,428460.869,109254.594,689011.34,6655494420.0,68676429637.0,8070.0,1788659840.139,548562046.48,2042992.0,1894420.0,55519.0,48937.0,5527.0,5322.0,327.0,293.0,19.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,819140.0,768027.0,125379.0,122390.0,24621.0,24431.0,3912.0,3908.0,312.0,305.0,133.0,132.0,-6.0,-6.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.92341313264448,-121.95103461298392,5.235081967213115,4.062431693989071,5.647295081967212
06015,,,,,,,,,,,,0500000US06015,06,015,Del Norte,County,1006.373,"POLYGON ((-124.065521 41.464739, -124.066057 41.470258, -124.075917 41.501757, -124.081427 41.511228, -124.081987 41.547761, -124.092404 41.553615, -124.101123 41.569192, -124.101403 41.578524, -124.097385 41.585251, -124.100961 41.602499, -124.114413 41.616768, -124.116037 41.628849, -124.120225 41.640354, -124.135552 41.657307, -124.139354 41.671652, -124.138373 41.678881, -124.143479 41.709284, -124.147412 41.717955, -124.154246 41.728801, -124.164716 41.740126, -124.17739 41.745756, -124.185363 41.739351, -124.19104 41.736079, -124.194953 41.736778, -124.203843 41.747035, -124.23972 41.7708, -124.242288 41.772034, -124.248704 41.771459, -124.255994 41.783014, -124.245027 41.7923, -124.230678 41.818681, -124.219592 41.846432, -124.208439 41.888192, -124.203402 41.940964, -124.204948 41.983441, -124.211605 41.99846, -124.100921 41.996956, -124.100216 41.996842, -124.087827 41.996891, -124.086661 41.996869, -123.821472 41.995473, -123.624554 41.999837, -123.518075 42.000436, -123.565442 41.903141, -123.642812 41.889353, -123.703768 41.829117, -123.660205 41.714055, -123.719089 41.595258, -123.612395 41.448954, -123.661363 41.38209, -123.770239 41.380776, -123.770551 41.464193, -124.065521 41.464739))",131.76,,35.0,30.0,0.0,31.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.74494236553362,-123.95780135582768,1.8999180327868852,2.13,3.5339344262295085
06017,,,,,,,,,,,,0500000US06017,06,017,El Dorado,County,1707.883,"POLYGON ((-121.141009 38.71198, -121.040406 38.915651, -120.746395 39.010352, -120.642458 38.944404, -120.556321 38.915164, -120.470985 38.965507, -120.43524 39.028397, -120.184098 39.031014, -120.143663 39.067285, -120.002461 39.067489, -120.001014 38.999574, -119.904315 38.933324, -119.880303 38.864776, -120.072392 38.702767, -120.098322 38.709029, -120.301721 38.549109, -120.510596 38.511467, -120.627604 38.503143, -120.813554 38.562193, -121.027507 38.508292, -121.118617 38.717118, -121.133264 38.705427, -121.141009 38.71198))",30925.361,895.4,1566.0,108.0,1.0,239.0,347.0,0.0,2071883851.0,185480.893,184935.184,82997.103,35316.612,189101.01,1856689055.0,2938273658744.0,1228.0,505111181.62,180383081.65,551094.0,512060.0,14754.0,9238.0,377.0,303.0,35.0,23.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,255777.0,234198.0,47315.0,41960.0,9064.0,9023.0,1862.0,1838.0,174.0,175.0,34.0,34.0,17.0,17.0,17.0,17.0,10.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.77873704298154,-120.52465107035418,5.154426229508196,2.350655737704918,4.026775956284153
06019,,,,,,,,,,,,0500000US06019,06,019,Fresno,County,5957.991,"POLYGON ((-119.573194 36.488835, -119.66629 36.41896, -119.905119 36.401741, -119.959227 36.400975, -119.95921 36.181403, -120.315068 35.907186, -120.648784 36.10799, -120.62691 36.203227, -120.678582 36.267319, -120.596562 36.328488, -120.603706 36.488242, -120.918731 36.740381, -120.65595 36.952832, -120.590566 36.952641, -120.541696 37.044505, -120.422187 36.840139, -120.229179 36.769687, -120.132898 36.809841, -120.079458 36.825345, -120.027775 36.814505, -120.013334 36.828228, -119.932551 36.84299, -119.823421 36.848333, -119.733852 36.948558, -119.537677 37.104019, -119.559412 37.143619, -119.470844 37.110548, -119.43306 37.161516, -119.361916 37.167849, -119.330573 37.205791, -119.335189 37.310774, -119.286658 37.374943, -119.022363 37.585737, -118.775014 37.463052, -118.786736 37.34338, -118.716016 37.328208, -118.665167 37.261009, -118.654593 37.141826, -118.437137 37.059818, -118.360586 36.744773, -118.982441 36.741646, -118.984779 36.657147, -119.304625 36.660606, -119.305102 36.573725, -119.466322 36.575238, -119.573194 36.488835))",612536.019,4844.34,3677.0,434.0,23.0,1465.0,1899.0,0.0,8625913981.0,1110974.245,1084627.643,567436.304,75185.25,1010662.553,7228574921.0,73060021431.0,2133.0,2344626281.385,911586872.38,3137676.0,2858741.0,67816.0,59003.0,11761.0,11189.0,5037.0,5023.0,17.0,17.0,15.0,15.0,12.0,12.0,0.0,0.0,0.0,0.0,1201410.0,1101342.0,190843.0,185735.0,35896.0,35795.0,9711.0,9702.0,771.0,771.0,396.0,395.0,2056.0,2056.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.758180126437395,-119.6493226292865,5.387622950819672,2.197814207650273,3.191065573770492
