zip_code,county_fips,TOT_RATIO
00501,36103,1.0
58214,38035,1.0
58204,38035,1.0
58205,38035,1.0
58206,38035,1.0
58207,38035,1.0
58208,38035,1.0
58210,38099,1.0
58216,38067,1.0
58078,38017,1.0
58218,38097,1.0
58219,38097,1.0
58220,38067,1.0
58222,38067,1.0
58223,38097,1.0
58228,38035,1.0
58203,38035,1.0
58202,38035,1.0
58201,38035,1.0
58126,38017,1.0
58125,38017,1.0
58124,38017,1.0
58122,38017,1.0
58121,38017,1.0
58109,38017,1.0
58108,38017,1.0
58107,38017,1.0
58106,38017,1.0
58105,38017,1.0
58104,38017,1.0
58103,38017,1.0
58102,38017,1.0
58081,38077,1.0
58230,38091,1.0
58235,38035,1.0
58236,38067,1.0
58271,38067,1.0
58339,38095,1.0
58335,38005,1.0
58331,38095,1.0
58318,38009,1.0
58316,38079,1.0
58313,38069,1.0
58311,38019,1.0
58301,38071,1.0
58281,38019,1.0
58278,38035,1.0
58277,38091,1.0
58276,38067,1.0
58273,38099,1.0
58272,38063,1.0
58270,38099,1.0
58237,38099,1.0
58269,38019,1.0
58265,38067,1.0
58258,38035,1.0
58257,38097,1.0
58256,38035,1.0
58255,38019,1.0
58254,38063,1.0
58251,38035,1.0
58250,38099,1.0
58249,38019,1.0
58244,38035,1.0
58241,38067,1.0
58239,38019,1.0
58238,38067,1.0
58079,38017,1.0
58077,38077,1.0
33945,12071,1.0
57769,46093,1.0
57756,46102,1.0
57759,46081,1.0
57762,46019,1.0
57763,46047,1.0
57764,46102,1.0
57766,46047,1.0
57770,46102,1.0
58076,38077,1.0
57772,46102,1.0
57773,46033,1.0
57776,46063,1.0
57780,46103,1.0
57782,46047,1.0
57787,46093,1.0
57755,46063,1.0
57752,46102,1.0
57748,46093,1.0
57745,46103,1.0
57741,46093,1.0
57738,46033,1.0
57737,46093,1.0
57725,46103,1.0
57724,46063,1.0
57720,46063,1.0
57709,46103,1.0
57703,46103,1.0
57661,46041,1.0
57660,46031,1.0
57659,46031,1.0
57658,46031,1.0
57656,46041,1.0
57790,46103,1.0
57792,46093,1.0
57794,46102,1.0
58030,38077,1.0
58075,38077,1.0
58072,38003,1.0
58067,38081,1.0
58065,38003,1.0
58063,38003,1.0
58061,38077,1.0
58059,38017,1.0
