,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.02021427231645192,0.0002991242763293825,67.57817374271839,0.0,0.01962799950794472,0.020800545124959116
log_median_household_income,-0.0037808810412656192,0.0002884355379903657,-13.10823578678404,2.953899995840203e-39,-0.00434620430758817,-0.003215557774943068
pct_black,0.0002213055024609,0.00011427799752988597,1.9365539057772185,0.05279989711236803,-2.675256923033762e-06,0.0004452862618448337
pct_hispanic,0.0010990064269674705,0.00019188718696415674,5.727357018229454,1.0200734791900191e-08,0.0007229144514230196,0.0014750984025119216
pct_asian,-0.0005738086265823278,0.0001239672157913198,-4.628712703754261,3.6794581033791716e-06,-0.0008167799047970197,-0.0003308373483676359
poverty_rate,0.0009511295998209753,0.00032773734705568707,2.9021092907649777,0.0037065920216468318,0.00030877620320312433,0.0015934829964388262
cdd65_2023,-15543911006.78609,20996020010.452637,-0.7403265475574764,0.45910187621206155,-56695354045.95555,25607532032.383366
hdd65_2023,23125642293.38016,31237083648.654514,0.7403265475577219,0.4591018762119127,-38097916640.047714,84349201226.80803
t2m_mean_c_2023,31804691528.271423,42960355309.68958,0.7403265475576262,0.4591018762119706,-52396057641.76424,116005440698.30708
ghi_mean_kwh_m2_day_2023,0.000234321790053395,0.00015380563566724643,1.5234928748667096,0.12763544195263563,-6.713171647369716e-05,0.0005357752965804872
y_pv,0.003518610167022602,0.0005725340842033206,6.145678072457009,7.962262870856381e-10,0.002396463982062471,0.004640756351982733
y_storage,0.0009029960837998798,0.00020698617211151882,4.362591348920491,1.2853089042710717e-05,0.000497310641163494,0.0013086815264362656
y_chargers,-0.0009029331698519615,0.00016616406419535588,-5.433985827347124,5.510895988817141e-08,-0.0012286087511996606,-0.0005772575885042624
