outcome,predictor_set,model,n_obs,cv_r2_mean,cv_r2_sd,cv_rmse_mean,cv_rmse_sd
y_pv,energy burden only,Polynomial deg 2,1320,0.06760117806131098,0.04668879488266807,0.336135914247018,0.03018290071677087
y_pv,energy burden only,Linear,1320,0.0450668487226034,0.03677579129788391,0.3404826941859952,0.03316352169080552
y_pv,energy burden only,Random Forest,1320,0.04362996852720595,0.05667651342589408,0.34025511887083415,0.02928235409290031
y_pv,energy burden only,XGBoost,1320,0.024281015569700658,0.04173509669065782,0.3438392763262122,0.030024001631789202
y_pv,energy burden + EAI sensitivity,Random Forest,1320,0.1993455687426005,0.04147649260497496,0.3115978493808759,0.029517428195542813
y_pv,energy burden + EAI sensitivity,XGBoost,1320,0.1706921259163186,0.04373456748641588,0.3170071702086023,0.028435442654057046
y_pv,energy burden + EAI sensitivity,Linear,1320,0.11302640234652961,0.08144152885899603,0.3282813366034624,0.038421788465495266
y_pv,energy burden + EAI sensitivity,Polynomial deg 2,1320,0.10700790810336958,0.191778688414623,0.3275277238050752,0.04341807935269426
y_storage,energy burden only,Linear,1314,0.004041386478451181,0.00644194789845209,0.9947069760461306,0.042273601586780625
y_storage,energy burden only,Polynomial deg 2,1314,0.00039436112853075134,0.03158729863161154,0.9957942666739488,0.028888108100096545
y_storage,energy burden only,Random Forest,1314,-0.0007301029741497933,0.019919145898400194,0.9967767700579333,0.03679710913528541
y_storage,energy burden only,XGBoost,1314,-0.02725076115941043,0.01643470762406811,1.010199766708128,0.044103448799306375
y_storage,energy burden + EAI sensitivity,Polynomial deg 2,1314,0.25181343946946805,0.020830150227088597,0.8623183593851605,0.043509784247810344
y_storage,energy burden + EAI sensitivity,Random Forest,1314,0.22597513152451362,0.015068984774830952,0.8769990061639652,0.04117624995659473
y_storage,energy burden + EAI sensitivity,XGBoost,1314,0.2239802364346352,0.021961371154936644,0.8783520451133443,0.04721487288479052
y_storage,energy burden + EAI sensitivity,Linear,1314,0.15951754547267433,0.048046619028829264,0.9129845129542552,0.03805185162944114
y_chargers,energy burden only,Random Forest,1148,0.08117756505409049,0.0853435450936586,0.9532469219188637,0.10946565848329144
y_chargers,energy burden only,Polynomial deg 2,1148,0.07044093653535088,0.039780793454626005,0.9598077881557131,0.10398633011950843
y_chargers,energy burden only,XGBoost,1148,0.06187615839136416,0.04232825918193648,0.9630099980863912,0.09317379013919909
y_chargers,energy burden only,Linear,1148,0.04110900202657526,0.024824312400347166,0.9742870972897718,0.09684526324948493
y_chargers,energy burden + EAI sensitivity,Random Forest,1148,0.11626359319508348,0.06550359343970903,0.9336373402682643,0.08788934072805407
y_chargers,energy burden + EAI sensitivity,XGBoost,1148,0.11047817549604948,0.05932372738757128,0.9375912396641934,0.09500715845885793
y_chargers,energy burden + EAI sensitivity,Polynomial deg 2,1148,0.09245216944421022,0.03981327852111425,0.9479309658059434,0.09837401161548188
y_chargers,energy burden + EAI sensitivity,Linear,1148,0.08198335542534489,0.03138768069110337,0.9530450376189089,0.09347766406916926
