,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.1201978801103364,0.025015194849105568,4.804994757601664,1.5475555993874435e-06,0.07116899913983762,0.16922676108083518
log_median_household_income_c,-0.0035857742907836896,0.03454032315825434,-0.1038141500400749,0.9173168370388826,-0.07128356369533696,0.06411201511376959
pct_black_c,0.02840305303617645,0.022660823976959787,1.2533989525294855,0.21006055249701283,-0.01601134581866645,0.07281745189101935
pct_hispanic_c,0.05066106869914214,0.024949172404393587,2.030571109854556,0.0422985208649329,0.0017615893424501247,0.09956054805583414
pct_asian_c,-0.05202093919978561,0.018707525816343176,-2.7807492936526823,0.005423360191051873,-0.0886870160396715,-0.015354862359899711
poverty_rate,-0.00889805929463381,0.030866258933978184,-0.2882778672227962,0.7731340477527366,-0.06939481514271872,0.05159869655345111
wind_ws50m_mean_2023,0.101372179577478,0.0316753568038869,3.2003484666363273,0.0013726152515203113,0.039289621044403915,0.16345473811055208
log_median_household_income_c:pct_black_c,-0.0167726128258414,0.027821613829866445,-0.6028626854074165,0.5466000412076291,-0.07130197392416111,0.03775674827247831
log_median_household_income_c:pct_hispanic_c,0.05854041967525647,0.020522970811470916,2.8524339976421174,0.00433858212140773,0.01831613602900671,0.09876470332150623
log_median_household_income_c:pct_asian_c,0.04235291240909077,0.017336511680917734,2.442989292690786,0.014566169434412846,0.008373973896934055,0.07633185092124747
