,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-0.004405049376711292,0.003885369941415441,-1.1337528840578128,0.2568982196254983,-0.012020234528500056,0.003210135775077472
pct_black,0.010116730512562063,0.0023422125350969544,4.319305084815152,1.5652128018536932e-05,0.0055260782996337755,0.01470738272549035
pct_hispanic,0.009135393550543661,0.0010058678526734571,9.082101119210693,1.0649876310674805e-19,0.007163928786097044,0.011106858314990278
pct_asian,-0.011808219934863133,0.0011712138932064554,-10.082035402206113,6.633747230546214e-24,-0.014103756983740726,-0.00951268288598554
log_kwh,-2.7032531629695176e-05,2.132999685260928e-05,-1.2673481302641783,0.20503083786296872,-6.883855725116206e-05,1.4773493991771719e-05
cdd65_2023,7.770830756249954e-06,4.911266174254366e-07,15.822458976029191,2.1781680192522095e-56,6.8082402742471164e-06,8.733421238252791e-06
hdd65_2023,4.126906304607874e-06,2.4211904575800426e-07,17.044947008145236,3.810893913270723e-65,3.6523616949509805e-06,4.601450914264768e-06
ghi_mean_kwh_m2_day_2023,0.0009897010646678123,0.0007405535344768403,1.336434192251855,0.1814073966567611,-0.0004617571915306359,0.0024411593208662607
y_chargers,-0.0010957820920832043,0.0002461027286506935,-4.45253938504073,8.486066833338071e-06,-0.0015781345767355973,-0.0006134296074308114
y_storage,-0.00014377620061481285,0.0002932414759165297,-0.49029967594262935,0.623921856295342,-0.0007185189321845806,0.000430966530954955
y_pv,0.0013159125622639691,0.0008484349372285096,1.550988183681495,0.12090451572165102,-0.0003469893579294112,0.0029788144824573494
