,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-5.300253264892611,0.7545846173265791,-7.024067471280953,2.155006587083079e-12,-6.779211938140644,-3.821294591644577
log_median_household_income,0.39889198652307617,0.06726168520059791,5.9304488927602765,3.021076075979721e-09,0.2670615059904335,0.5307224670557189
pct_black,-0.637023645024997,0.09233604278690619,-6.89897060560766,5.238070743055664e-12,-0.8179989633622825,-0.45604832668771145
pct_hispanic,-0.03332105158666947,0.054796043743336874,-0.6080922875152144,0.5431262671463821,-0.1407193238188911,0.07407722064555217
pct_asian,-0.4680886042285883,0.05647187987522791,-8.288879443411643,1.1432034253012792e-16,-0.5787714549233073,-0.3574057535338693
poverty_rate,-0.21258478203611636,0.23031502194340328,-0.9230174403837025,0.35599811659647285,-0.663993930143739,0.2388243660715063
ghi_mean_kwh_m2_day_2023,0.1768359938583279,0.04110458576298539,4.3020989161157885,1.6918774566642382e-05,0.09627248616343868,0.2573995015532171
log_kwh,-0.004534614517202511,0.0012355078747622904,-3.6702433143738262,0.00024231969851280118,-0.0069561654543522245,-0.002113063580052798
energy_burden_pct,16.92452035377429,3.7432676960846516,4.521322472201719,6.1454486499609236e-06,9.58785048495615,24.261190222592433
log_energy_gap_per_capita,0.02223090053733793,0.004000841153740928,5.556556654730281,2.751484409142092e-08,0.014389395968140033,0.030072405106535825
