,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.02830378059994091,0.004968767729334934,5.696338034245233,1.2240806628891744e-08,0.018565174802899577,0.03804238639698224
log_median_household_income_c,0.0027478585512601857,0.006852403022052139,0.4010065581982165,0.688415295473255,-0.010682604579515432,0.016178321682035805
pct_black_c,0.008352461917352826,0.00477685627857321,1.7485269453925474,0.0803728239427557,-0.0010100043479746978,0.017714928182680348
pct_hispanic_c,0.01683906232569483,0.005898607934103824,2.854751920082173,0.004307045784851784,0.005278003215929123,0.028400121435460536
pct_asian_c,-0.01104489625890617,0.0032555621718535844,-3.392623355313671,0.0006922675408563402,-0.01742568086517019,-0.0046641116526421455
poverty_rate,-0.004369470774924141,0.005333388150521418,-0.8192673496859515,0.412633896575164,-0.014822719465518809,0.0060837779156705275
wind_ws50m_mean_2023,0.021529212957481877,0.005643370158749733,3.814956728312784,0.00013620679901112215,0.010468410694904314,0.03259001522005944
log_median_household_income_c:pct_black_c,6.330085211131409e-05,0.004426610673587765,0.014300072172375802,0.9885905820525244,-0.008612696641701294,0.008739298345923923
log_median_household_income_c:pct_hispanic_c,0.012336612602785426,0.003947441950220954,3.1252169780723174,0.001776739515326459,0.004599768549289803,0.02007345665628105
log_median_household_income_c:pct_asian_c,0.008493591286938638,0.002951604068398467,2.877618776134578,0.004006890362354573,0.002708553616255744,0.014278628957621532
