,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.07017689637124071,0.03914597752608467,1.7926975083066654,0.07302130516771725,-0.0065478097194996004,0.14690160246198103
C(county_geoid)[T.6005.0],-0.07329391402576609,0.043022183239025756,-1.703630743669015,0.08845009412776485,-0.15761584371053933,0.01102801565900717
C(county_geoid)[T.6007.0],-0.06997862521087381,0.04198831409253404,-1.666621457023842,0.09558969953633376,-0.15227420860379615,0.012316958182048518
C(county_geoid)[T.6009.0],-0.06806787653587437,0.04136758135673175,-1.645440083839895,0.09987908912030632,-0.14914684612259918,0.013011093050850436
C(county_geoid)[T.6011.0],-0.08029053002302257,0.043243297758309374,-1.856716166092916,0.06335154629171003,-0.1650458362020506,0.004464776156005462
C(county_geoid)[T.6013.0],-0.04112393311186374,0.045613698812737795,-0.9015697955277359,0.36728544202030367,-0.13052513998648724,0.048277273762759754
C(county_geoid)[T.6015.0],-0.07377137457030318,0.04361100616601895,-1.6915769906676619,0.09072665669343451,-0.15924737598525454,0.01170462684464818
C(county_geoid)[T.6017.0],-0.07041655720027948,0.04196494527048219,-1.6779852028023476,0.093349987744106,-0.15266633854361905,0.011833224143060095
C(county_geoid)[T.6019.0],-0.07249381042238404,0.040098979054100765,-1.8078717247283727,0.0706264673856007,-0.15108636518524754,0.006098744340479467
C(county_geoid)[T.6021.0],-0.07741841278737104,0.04293211683043808,-1.8032749955735425,0.07134503753507941,-0.16156381555509558,0.0067269899803534955
C(county_geoid)[T.6023.0],-0.06785534548166694,0.04291640329691649,-1.581105131578962,0.11385400161449521,-0.1519699502896193,0.016259259326285413
C(county_geoid)[T.6025.0],-0.07711036692730504,0.041859645732805185,-1.8421170456030411,0.06545803098618043,-0.15915376496920897,0.00493303111459889
C(county_geoid)[T.6027.0],-0.07388651634056104,0.04541225101230613,-1.6270172628205273,0.10373343148236476,-0.16289289278157365,0.01511986010045159
C(county_geoid)[T.6029.0],0.015186646243241439,0.06712158225998317,0.22625578438271526,0.8210024856404295,-0.11636923757166819,0.14674253005815108
C(county_geoid)[T.6031.0],-0.07675960973478757,0.04100178672678714,-1.8721040194240914,0.06119221403813511,-0.15712163502108278,0.0036024155515076567
C(county_geoid)[T.6033.0],-0.07155153817911096,0.0429514041596312,-1.6658719215135742,0.09573892724257799,-0.155734743417412,0.012631667059190069
C(county_geoid)[T.6035.0],-0.07263652702362333,0.041048814967346074,-1.769515808955873,0.07680783492529798,-0.15309072596767037,0.007817671920423694
