,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.02268253352390867,0.0005460947695512179,41.53589228212026,0.0,0.021612207443442583,0.02375285960437476
C(utility)[T.San Diego Gas & Electric],-0.0008133809238053673,0.0009067607757400855,-0.8970182054263399,0.36970920256308903,-0.0025905993868495358,0.0009638375392388011
C(utility)[T.Southern California Edison],-0.000767607048584973,0.0008239945437212788,-0.9315681207285041,0.35155976465892647,-0.002382606677736194,0.0008473925805662484
log_median_household_income,-0.0041907966854971114,0.0005321921768372022,-7.874592802928551,3.418543835894943e-15,-0.005233874184951999,-0.0031477191860422235
pct_black,-5.281624621588728e-05,0.00022322327036784442,-0.23660725930971543,0.8129614879871983,-0.0004903258166481094,0.00038469332421633485
pct_hispanic,0.0006534097245256294,0.0003465015267283392,1.885734041910613,0.05933080310325206,-2.5720788450058407e-05,0.0013325402375013171
pct_asian,-0.0009335800772772668,0.00020025567025166633,-4.66194078851307,3.132413218450777e-06,-0.0013260739786704618,-0.0005410861758840717
poverty_rate,0.0005474287989849491,0.000412657468522869,1.326593702385908,0.18464312019685447,-0.00026136497727134516,0.0013562225752412433
cdd65_2023,0.003755282170441558,0.00041242366104468945,9.105399435447625,8.594957635835456e-20,0.0029469466484218117,0.004563617692461304
hdd65_2023,0.0029334992751487874,0.00042474697414390317,6.9064630326358145,4.968863390948999e-12,0.0021010105032843716,0.0037659880470132033
ghi_mean_kwh_m2_day_2023,0.0005857715958055307,0.0003611897715924355,1.6217834553369137,0.10484972213997554,-0.00012214734809989122,0.0012936905397109527
