,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.022497943722297027,0.00014268821532618695,157.67205210932426,0.0,0.022218279959239404,0.02277760748535465
log_median_household_income,-0.004173421165967197,0.0003166793579459574,-13.178696562468742,1.1638423942693941e-39,-0.004794101302188541,-0.003552741029745852
pct_black,2.4088320829901647e-05,0.00011277845938595495,0.21358973123994923,0.8308670078974449,-0.00019695339779848326,0.00024513003945828655
pct_hispanic,0.0004359741042561552,0.00020865060451494212,2.089493607122206,0.03666331282341523,2.7026434054358247e-05,0.0008449217744579522
pct_asian,-0.0009643680537140511,0.00012627917307391807,-7.636794177845574,2.22697072740427e-14,-0.0012118706849364306,-0.0007168654224916715
poverty_rate,0.0006360646888836054,0.00028473408850903986,2.2338901963380873,0.0254902987830949,7.799613023504724e-05,0.0011941332475321636
cdd65_2023,0.0038986022916060147,0.0002532970936599878,15.391421335608714,1.8688164115768306e-53,0.0034021491106437695,0.00439505547256826
hdd65_2023,0.0030416188307093167,0.00022821724867702197,13.327734202132469,1.5967385368577378e-40,0.0025943212426515322,0.003488916418767101
ghi_mean_kwh_m2_day_2023,0.0005105828101765298,0.00019970006424871638,2.556748352071758,0.010565562052406795,0.00011917787653871085,0.0009019877438143488
log_kwh,-0.0002771275355843943,0.00016256020892156168,-1.7047685741971055,0.08823759472154752,-0.000595739690389962,4.148461922117341e-05
