,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,3.8032867261643752,0.059792119677458865,63.60849467589929,0.0,3.6860963250372474,3.920477127291503
log_median_household_income,-0.5242922079750206,0.14650172929290947,-3.5787441588950295,0.00034524923563274997,-0.8114303210619598,-0.23715409488808142
pct_black,0.09128592273382989,0.05833438542928028,1.5648733086336752,0.11761261828623365,-0.023047371767837554,0.20561921723549734
pct_hispanic,0.3130246203599661,0.07115705339227173,4.3990666481696,1.0871743747614102e-05,0.17355935846511983,0.45248988225481235
pct_asian,0.2608701203179114,0.09378801082503219,2.781486866211312,0.005411052007375197,0.07704899691919559,0.4446912437166272
poverty_rate,0.266484394126624,0.09750327028783824,2.733081601672832,0.006274478500696666,0.0753814959875867,0.4575872922656613
cdd65_2023,0.32560528577420916,0.0989130847258175,3.2918322856553504,0.000995369518109381,0.13173920211184792,0.5194713694365705
hdd65_2023,0.12533242555338306,0.08306900794844749,1.5087747963857254,0.1313563436541549,-0.03747983825704551,0.28814468936381166
ghi_mean_kwh_m2_day_2023,0.030046757157873114,0.07664612381272318,0.39201926546591237,0.6950439790397492,-0.12017688506966212,0.18027039938540834
log_median_housing_value,-0.579858021867238,0.14863622569765328,-3.9011890886327385,9.572134398162239e-05,-0.8711796710326053,-0.2885363727018707
