,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,3.864580182189442,0.06220182549812735,62.12969074847794,0.0,3.742666844440467,3.9864935199384166
log_median_household_income,-0.8779285013210343,0.11972032186412719,-7.333161886395625,2.2478513132997884e-13,-1.1125760203922668,-0.6432809822498018
pct_black,0.041323799816781775,0.06094784130709191,0.6780190886264141,0.497759590222119,-0.07813177408058099,0.16077937371414452
pct_hispanic,0.3776144349231251,0.07489003222072191,5.042252269436733,4.60084185007683e-07,0.23083266896946594,0.5243962008767842
pct_asian,0.24844445617255573,0.09533270108316308,2.6060780125785614,0.00915855993277984,0.06159579550063349,0.43529311684447797
poverty_rate,0.21174239654185492,0.10508816180161898,2.014902467716329,0.04391486939484103,0.005773384209163873,0.41771140887454594
cdd65_2023,0.6828678699468337,0.08859335223660617,7.70789063408617,1.279142902801357e-14,0.5092280902934145,0.8565076496002528
hdd65_2023,0.4981882710759804,0.08523857087263945,5.844634253903156,5.076824590448985e-09,0.3311237420719422,0.6652528000800186
ghi_mean_kwh_m2_day_2023,-0.08341843794306834,0.08391039814094213,-0.9941370770634713,0.3201561367058169,-0.24787979622773165,0.08104292034159495
log_kwh,0.4204233495182424,0.07653275975057158,5.493377618792879,3.943183911626408e-08,0.27042189676966544,0.5704248022668194
