,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.23267594058331428,0.020358866810625733,11.428727480150107,3.004798871853836e-30,0.19277329486844003,0.27257858629818854
C(utility)[T.San Diego Gas & Electric],0.06059461667719007,0.05003362778342087,1.2110778162935587,0.22586558253585653,-0.03746949179419744,0.1586587251485776
C(utility)[T.Southern California Edison],0.045690902119904044,0.039183145290874195,1.1660856161678657,0.2435798315927128,-0.031106651451209603,0.12248845569101768
log_median_household_income,0.02738543478618711,0.02396235487984658,1.1428524000877516,0.25309987843067905,-0.019579917763079803,0.07435078733545403
pct_black,-0.014210115801187284,0.00965439600763447,-1.4718803527377846,0.141053190026943,-0.03313238426863813,0.004712152666263564
pct_hispanic,0.008285602278947535,0.018406719916955205,0.45014007472973594,0.6526094423256883,-0.027790905831800758,0.04436211038969583
pct_asian,0.020072499642763364,0.009865175934127146,2.034682379391275,0.04188284230843013,0.0007371101107228745,0.03940788917480385
poverty_rate,0.03394503633014182,0.021629687588337717,1.5693724743599295,0.11656117394483276,-0.00844837233985312,0.07633844500013676
cdd65_2023,-0.0017863514418060044,0.017332224407331707,-0.10306533078641421,0.9179111204756403,-0.035756887052142236,0.03218418416853022
hdd65_2023,0.03972903608574073,0.025228318727759026,1.5747793784619657,0.11530737793818271,-0.00971756001116432,0.08917563218264578
