,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.009371722261525398,0.003987355099713303,2.3503605841875577,0.018755232190623573,0.0015566498725152079,0.01718679465053559
C(utility)[T.San Diego Gas & Electric],-0.012443209082664022,0.005214814765280877,-2.3861267643691297,0.01702688085710579,-0.022664058208662234,-0.0022223599566658075
C(utility)[T.Southern California Edison],-0.0072933966618875315,0.004648400754322627,-1.5690120209849112,0.11664513802701644,-0.0164040947260687,0.001817301402293638
log_median_household_income,-0.005295138443802023,0.004672179230596048,-1.1333337576449314,0.2570741205654017,-0.014452441465086337,0.00386216457748229
pct_black,2.0993776524622368e-05,0.0013305750615556346,0.01577797234533887,0.9874115217722634,-0.002586885422851587,0.0026288729759008315
pct_hispanic,-0.0049942138368835425,0.0032363483793436086,-1.5431632356886318,0.12279117496086142,-0.011337340101821587,0.0013489124280545032
pct_asian,0.0006256976567238364,0.0009155859854124821,0.6833849214521914,0.4943636455002386,-0.001168817899434244,0.0024202132128819166
poverty_rate,0.0016697225136480668,0.004354503555685593,0.38344727298889025,0.7013881580549194,-0.0068649476260473005,0.010204392653343435
cdd65_2023,-0.0014866615714915405,0.0017105919833154467,-0.86909186176011,0.38479688767725717,-0.004839360251032757,0.001866037108049676
hdd65_2023,-0.005611756616107371,0.0027882505521528217,-2.0126443126764584,0.0441520616624089,-0.011076627278200822,-0.0001468859540139202
