,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.5408538537451131,0.015992466887855456,33.819288639942904,1.0267886457284866e-250,0.509509194620967,0.5721985128692592
log_median_household_income,0.04596444581013936,0.03610588055294429,1.2730459721855791,0.20300172903530456,-0.024801779703736572,0.1167306713240153
pct_black,0.01925464431554896,0.02016135406146575,0.9550273387812886,0.33956387181132475,-0.02026088352448425,0.05877017215558217
pct_hispanic,-0.10232867856594736,0.02109382041555638,-4.851121160132826,1.2276551899834384e-06,-0.1436718068767936,-0.06098555025510114
pct_asian,0.0774318942053258,0.020599573641424986,3.75890761397183,0.00017065683391031118,0.037057471771252216,0.11780631663939939
poverty_rate,0.14880300926199952,0.03128619102095488,4.756188094687978,1.9728266556813616e-06,0.08748320164748752,0.21012281687651152
cdd65_2023,-0.13851259516726785,0.018695517649790154,-7.408866540201019,1.2738341546060738e-13,-0.17515513643318947,-0.10187005390134624
hdd65_2023,-0.0691914399734206,0.02450401979695218,-2.8236771169286543,0.004747618613376749,-0.11721843625190337,-0.02116444369493784
plant_mw_per_100k,0.08429804405605039,0.019297612271286395,4.368314736092011,1.2520896579009344e-05,0.046475419016710866,0.1221206690953899
storage_mw_per_100k,0.11299443324596453,0.024597177326199426,4.593796749418466,4.352533296535831e-06,0.06478485156526843,0.16120401492666064
wind_mw_per_100k_ctrl,-0.10042340522117156,0.036030319191392185,-2.7871916617703234,0.005316702347987332,-0.17104153318778256,-0.029805277254560558
turbines_per_100k,0.09139485692635808,0.03477920167813581,2.627859540082949,0.00859239864672235,0.023228874226156895,0.15956083962655926
