,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,1.7060065313721429,0.022628917869611857,75.3905485539422,0.0,1.6616546673385888,1.750358395405697
log_median_household_income,0.2635454850823678,0.049862708654772235,5.285422557106603,1.2541492147576583e-07,0.16581637194740056,0.36127459821733504
pct_black,-0.11917397568314453,0.02178372848009146,-5.470779522066655,4.4806042040333616e-08,-0.16186929895312324,-0.07647865241316582
pct_hispanic,-0.17679836632489135,0.030266432365616262,-5.841400935173996,5.176365697533249e-09,-0.23611948370201666,-0.11747724894776604
pct_asian,-0.2561922654151977,0.02289669787611067,-11.18904860436214,4.613572545206364e-29,-0.30106896861726934,-0.21131556221312603
poverty_rate,-0.010598099020778502,0.04105736098730721,-0.25812908491743736,0.7963072854804805,-0.0910690478561605,0.0698728498146035
cdd65_2023,-0.015221755195299004,0.03279206306222429,-0.4641902269587338,0.6425114625248278,-0.07949301777602485,0.04904950738542685
hdd65_2023,-0.01002026039325659,0.03364558285293059,-0.29781800591942514,0.7658420710785491,-0.07596439102385893,0.05592387023734576
plant_capacity_mw,0.03774767920770774,0.03149078877258947,1.1986895431645859,0.23064868556379392,-0.023973132631325916,0.0994684910467414
wind_capacity_mw,0.07422849007158144,0.039320546069142814,1.8877787185624306,0.05905566333586614,-0.0028383640763864626,0.15129534421954935
wind_turbine_count,-0.028106047248915553,0.03795397190967467,-0.7405298005648566,0.4589785857254346,-0.1024944652621228,0.0462823707642917
PV_system_size_DC,0.1476583618132854,0.030728829108318506,4.805206254126789,1.5459205433123366e-06,0.08743096347389506,0.20788576015267574
