,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,1.7828745624426783,0.019512008259063948,91.37319638097613,0.0,1.7446317289888649,1.8211173958964917
log_median_household_income,0.21490667183761397,0.05827136968055777,3.6880319274409903,0.00022599529846843654,0.10069688593390146,0.3291164577413265
pct_black,-0.08309478301920413,0.018318138542928283,-4.536202345258649,5.727623015441979e-06,-0.11899767482715859,-0.04719189121124967
pct_hispanic,-0.2400831281553984,0.03466615468977554,-6.925577131466753,4.342016768525587e-12,-0.30802754282985273,-0.17213871348094406
pct_asian,-0.16077205077187814,0.02290294763412772,-7.019710010265729,2.2232920422353306e-12,-0.20566100327457532,-0.11588309826918097
poverty_rate,-0.00209098606219571,0.040495390781641105,-0.051635161973635636,0.9588194014955915,-0.08146049353408759,0.07727852140969617
log_kwh,0.09823268484468965,0.025134223592845777,3.9083238231655852,9.293868288612528e-05,0.04897051182333501,0.1474948578660443
cdd65_2023,-0.11455334195332639,0.03984563997242355,-2.8749278975718977,0.004041197715546287,-0.19264936124022608,-0.03645732266642669
hdd65_2023,0.060452603813657406,0.03113960485649532,1.941341391204191,0.05221688213254008,-0.0005799001978819829,0.1214851078251968
pct_bachelors_plus,-0.12561201765931967,0.04831546508783948,-2.5998304565826267,0.009326982868757841,-0.22030858912778742,-0.03091544619085193
plant_mw_per_100k,-0.02929197424311184,0.02492078839294984,-1.1754031927576827,0.23983344676090435,-0.07813582195963734,0.019551873473413653
wind_mw_per_100k_ctrl,0.03485835248840727,0.004365967933988525,7.984106391858555,1.415439050493297e-15,0.026301212580133012,0.04341549239668152
y_pv,0.38419878017086545,0.05885714711303497,6.527648705653586,6.681016529842386e-11,0.2688408915965413,0.4995566687451896
