,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.11159750236431777,0.018822900230180073,5.928815485372742,3.0512771530329667e-09,0.07470529582857413,0.1484897089000614
log_median_household_income,-0.040437267687496614,0.028543310983307302,-1.416698564197585,0.1565710770203852,-0.09638112921430549,0.015506593839312258
pct_black,0.005716070079577912,0.015310033422546027,0.3733545134630635,0.7088846088477145,-0.024291044030716802,0.03572318418987262
pct_hispanic,0.016261714995915378,0.022895964900934613,0.7102437074076566,0.4775530212792548,-0.02861355160120965,0.0611369815930404
pct_asian,-0.018458907446429695,0.014981312280986345,-1.2321288749755899,0.2179009466920213,-0.04782173995831054,0.010903925065451146
poverty_rate,-0.026030373040409636,0.024326704963853814,-1.0700328334267728,0.28460452999367447,-0.07370983863209488,0.021649092551275596
wind_ws50m_mean_2023,0.07927209658591908,0.02634786087677797,3.0086729604598212,0.002623913992805191,0.027631238197762323,0.13091295497407585
plant_capacity_mw,-0.018958044295731682,0.007942493527817389,-2.386913408155006,0.016990492632206367,-0.03452504555769624,-0.0033910430337671226
storage_capacity_mw,0.010021388104565293,0.02116238250306471,0.4735472531561136,0.6358227970100867,-0.031456119428502134,0.05149889563763272
wind_turbine_count,0.40646992362824175,0.11747129512108614,3.4601638060537585,0.0005398468791092921,0.17623041597363714,0.6367094312828463
PV_system_size_DC,0.022608234543589414,0.02306251365852651,0.9803022722647086,0.3269369334277499,-0.022593461620085624,0.06780993070726446
