,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-0.09560641130280455,0.03390401721376906,-2.8199139559183855,0.004803652818406397,-0.16205706397301795,-0.029155758632591164
log_median_household_income_c,0.006175266382808557,0.018182707350005003,0.3396230420442233,0.7341404234712655,-0.02946218516463298,0.04181271793025009
pct_black_c,0.12823017874145648,0.07497666666731348,1.7102677998535134,0.08721636330095277,-0.01872138760734271,0.27518174509025567
pct_hispanic_c,0.06811990702682895,0.03085765406830059,2.207553006980109,0.027275448059270454,0.007640016405563915,0.12859979764809398
pct_asian_c,-0.08026024736081916,0.02738994925204897,-2.9302809808899193,0.0033865563068475268,-0.13394356143321492,-0.026576933288423386
poverty_rate,-0.05852818126902248,0.07161873435753945,-0.817218871487375,0.41380335981115257,-0.19889832122814116,0.0818419586900962
total_population,4.2201976535554265e-08,2.7449181167208165e-07,0.15374584865930482,0.8778101325302403,-4.95792088392877e-07,5.801960414639855e-07
wind_ws50m_mean_2023,0.030370463179913123,0.008024169115457816,3.7848732676143686,0.00015378692715520555,0.01464338070775718,0.04609754565206907
log_median_household_income_c:pct_black_c,0.004203751724782691,0.17235454668391018,0.024390141169250187,0.980541412195209,-0.3336049523474086,0.34201245579697404
log_median_household_income_c:pct_hispanic_c,0.12569777066616084,0.045213423526167314,2.7800984942760003,0.005434241338160464,0.037081088937116924,0.21431445239520475
log_median_household_income_c:pct_asian_c,0.14938479220136894,0.051287516732537716,2.9126930239263573,0.0035832666474473643,0.048863106549099616,0.24990647785363826
