outcome,predictor_set,model,n_obs,cv_r2_mean,cv_r2_sd,cv_rmse_mean,cv_rmse_sd
y_pv,energy burden only,Polynomial deg 2,1320,0.06760117806131098,0.04668879488266807,0.336135914247018,0.03018290071677087
y_pv,energy burden only,Linear,1320,0.0450668487226034,0.03677579129788391,0.3404826941859952,0.03316352169080552
y_pv,energy burden only,Random Forest,1320,0.04362996852720595,0.05667651342589408,0.34025511887083415,0.02928235409290031
y_pv,energy burden only,XGBoost,1320,0.024281015569700658,0.04173509669065782,0.3438392763262122,0.030024001631789202
y_pv,energy burden + EAI sensitivity,Random Forest,1320,0.1993455687426005,0.04147649260497496,0.3115978493808759,0.029517428195542813
y_pv,energy burden + EAI sensitivity,XGBoost,1320,0.1706921259163186,0.04373456748641588,0.3170071702086023,0.028435442654057046
y_pv,energy burden + EAI sensitivity,Linear,1320,0.11302640234652961,0.08144152885899603,0.3282813366034624,0.038421788465495266
y_pv,energy burden + EAI sensitivity,Polynomial deg 2,1320,0.10700790810336958,0.191778688414623,0.3275277238050752,0.04341807935269426
y_storage,energy burden only,Linear,1314,0.004041386478451292,0.0064419478984521165,0.8780670122604043,0.0373165725552021
y_storage,energy burden only,Polynomial deg 2,1314,0.0003943611285310622,0.03158729863161137,0.8790268065073713,0.025500670428726363
y_storage,energy burden only,Random Forest,1314,-0.0006013016970257024,0.020050735488249982,0.8798405549170469,0.03258702222292229
y_storage,energy burden only,XGBoost,1314,-0.02725075875459928,0.016434668823285044,0.8917431072138211,0.03893183658698879
y_storage,energy burden + EAI sensitivity,Polynomial deg 2,1314,0.25181343946946805,0.0208301502270886,0.7612023678091777,0.03840779966219705
y_storage,energy burden + EAI sensitivity,Random Forest,1314,0.22593842620578722,0.015219803532177454,0.7741806464612916,0.0363996314083427
y_storage,energy burden + EAI sensitivity,XGBoost,1314,0.2239802644348848,0.02196139857775268,0.775355919136772,0.04167842744379
y_storage,energy burden + EAI sensitivity,Linear,1314,0.15951754547267435,0.04804661902882913,0.8059273764383306,0.033589867645293425
y_chargers,energy burden only,Random Forest,1148,0.08084505123606307,0.08503440688104788,0.8653472090275198,0.0992319473626917
y_chargers,energy burden only,Polynomial deg 2,1148,0.07044093653535097,0.03978079345462593,0.8711464723263823,0.09438069348014098
y_chargers,energy burden only,XGBoost,1148,0.061876147181124795,0.0423282906107707,0.8740528859955209,0.08456695500688644
y_chargers,energy burden only,Linear,1148,0.04110900202657537,0.02482431240034708,0.8842882692877257,0.08789927575334654
y_chargers,energy burden + EAI sensitivity,Random Forest,1148,0.11572433050709048,0.06436538516169765,0.8476910583889931,0.0798019163009647
y_chargers,energy burden + EAI sensitivity,XGBoost,1148,0.11047816266597763,0.05932373686845915,0.850982161156951,0.08623095871163923
y_chargers,energy burden + EAI sensitivity,Polynomial deg 2,1148,0.09245216944421017,0.03981327852111414,0.8603667599505014,0.08928680746807859
y_chargers,energy burden + EAI sensitivity,Linear,1148,0.08198335542534499,0.03138768069110319,0.8650084243275422,0.08484275528920412
