,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.1132018822545082,0.009284299203100126,12.192830043295986,3.3942557010899723e-34,0.09500499019473803,0.13139877431427838
C(utility)[T.San Diego Gas & Electric],-0.0013600929622243412,0.000442618179956492,-3.072835739277664,0.002120351661560071,-0.002227608653841734,-0.0004925772706069484
C(utility)[T.Southern California Edison],-0.00023184128598427523,0.00036210305227794056,-0.6402632745727868,0.522001452549449,-0.0009415502271410631,0.0004778676551725127
log_median_household_income,-0.010081529721689513,0.0007025640238893703,-14.349624203469045,1.0711608078645408e-46,-0.011458529905346217,-0.008704529538032808
poverty_rate,0.016647273486442543,0.004514112792583486,3.687828428610241,0.00022617606561288237,0.007799774990827384,0.025494771982057702
cdd65_2023,4.1453441505579035e-06,3.5180551787147696e-07,11.783056092009046,4.7730542571892736e-32,3.4558180059673464e-06,4.834870295148461e-06
hdd65_2023,2.7095135380425526e-06,2.416352954274138e-07,11.213235770253931,3.511180845592671e-29,2.235917061611126e-06,3.1831100144739795e-06
ghi_mean_kwh_m2_day_2023,0.0012727331611854062,0.0004908881766700916,2.592715045244947,0.009522163019188961,0.00031061001447549145,0.002234856307895321
pct_black,0.0042577091798672,0.0017116700579023684,2.487459052175612,0.012865926376262441,0.0009028975129629691,0.007612520846771432
pct_hispanic,0.0035574225807893027,0.0008213377963016364,4.331253957638203,1.482625582821897e-05,0.0019476300808966,0.0051672150806820055
pct_asian,-0.0034366936926541066,0.0008088386420470309,-4.248923720998825,2.1480003945145755e-05,-0.005021988300370572,-0.0018513990849376414
y_pv,0.003625774277849592,0.000616965134698195,5.8767895849142855,4.182993481283898e-09,0.0024165448341242264,0.004835003721574957
y_storage,0.0009996155782807303,0.00020286725939740684,4.927436695551416,8.331540417043049e-07,0.000602003056219468,0.0013972281003419925
y_chargers,-0.000972364405174148,0.00017547824618289115,-5.541224774726247,3.003633713070194e-08,-0.001316295447762868,-0.0006284333625854281
