,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.11721928542788129,0.019093757774825974,6.1391417451848165,8.296851111796868e-10,0.07979620785969074,0.15464236299607184
C(utility)[T.San Diego Gas & Electric],-0.0008133809238054146,0.0009067607757381224,-0.897018205428334,0.3697092025620251,-0.0025905993868457354,0.0009638375392349062
C(utility)[T.Southern California Edison],-0.0007676070485850093,0.0008239945437208448,-0.9315681207290389,0.35155976465865,-0.0023826066777353798,0.0008473925805653614
log_median_household_income,-0.0103961116293588,0.0013202094240962637,-7.874592802937577,3.418543835648192e-15,-0.012983674552637844,-0.007808548706079757
pct_black,-0.0008244499470707197,0.003484465985854795,-0.23660725930962676,0.8129614879872671,-0.007653877784700971,0.006004977890559532
pct_hispanic,0.002729599961852605,0.0014474999661601552,1.8857340419105715,0.059330803103257654,-0.00010744783944424642,0.005566647763149456
pct_asian,-0.006597376091753841,0.001415156560548197,-4.661940788514721,3.1324132184256473e-06,-0.009371031982913884,-0.0038237202005937986
poverty_rate,0.0073660098875116195,0.005552574141020505,1.3265937023864436,0.18464312019667706,-0.003516835450376999,0.018248855225400238
cdd65_2023,5.349745777468805e-06,5.875355403562882e-07,9.105399435453146,8.594957635398351e-20,4.198197278733201e-06,6.501294276204409e-06
hdd65_2023,2.8089438121843334e-06,4.0671235028837186e-07,6.906463032638925,4.968863390840117e-12,2.0118022535514858e-06,3.606085370817181e-06
ghi_mean_kwh_m2_day_2023,0.0018818763916291453,0.0011603746390658617,1.6217834553365587,0.10484972214005163,-0.00039241610951360807,0.004156168892771899
