,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,22.709792375946016,4.193258756499864,5.415786073479044,6.102002367508876e-08,14.49115623534907,30.92842851654296
log_median_household_income,-1.9012926283200828,0.34855626113429894,-5.454765386031937,4.9037547222965485e-08,-2.584450346729247,-1.2181349099109187
pct_black,1.2982173758427107,0.9113853405419449,1.4244439954133348,0.15431798622474038,-0.48806506765727353,3.084499819342695
pct_hispanic,1.1950780962715277,0.35755356263987886,3.3423750205369585,0.000830647520575693,0.4942859909533789,1.8958702015896765
pct_asian,1.7979364406648366,0.6713411464084335,2.67812638966568,0.007403527573995093,0.48213197236447547,3.1137409089651977
poverty_rate,3.1832532601465826,1.3563001166764102,2.34701245027324,0.018924622403929583,0.5249538792333457,5.8415526410598195
cdd65_2023,0.0007868878982915119,0.00011472721713951251,6.858772642716744,6.9454673559112305e-12,0.000562026684651561,0.001011749111931463
hdd65_2023,0.00025753828460305084,7.37689586003461e-05,3.4911470825866115,0.0004809514040490599,0.00011295378256934621,0.0004021227866367555
ghi_mean_kwh_m2_day_2023,0.09950071516297865,0.24773455392566085,0.40164245797070525,0.6879471781696119,-0.3860500882574125,0.5850515185833698
pct_bachelors_plus,-0.8476875035078129,0.6452274978734931,-1.313780808012022,0.18891997795553106,-2.1123101611747535,0.41693515415912796
