zip_code,cluster
90001,3
90002,3
90003,3
90004,2
90005,2
90006,3
90007,3
90008,2
90009,1
90010,2
90011,3
90012,2
90013,2
90014,2
90015,2
90016,2
90017,2
90018,3
90019,2
90020,2
90021,3
90022,3
90023,3
90024,2
90025,2
90026,2
90027,2
90028,2
90029,2
90030,1
90031,3
90032,2
90033,3
90034,2
90035,2
90036,2
90037,3
90038,2
90039,2
90040,3
90041,2
90042,2
90043,2
90044,3
90045,2
90046,2
90047,3
90048,2
90049,2
90050,1
90051,1
90053,1
90054,1
90055,1
90056,2
90057,3
90058,3
90059,3
90060,1
90061,3
90062,3
90063,3
90064,2
90065,2
90066,2
90067,2
90068,2
90069,2
90071,3
90073,3
90074,1
90075,1
90077,2
90078,1
90079,3
90080,1
90082,1
90083,1
90086,1
90089,3
90091,1
90093,1
90094,2
90095,2
90201,3
90204,1
90209,1
90210,2
90211,2
90212,2
90213,1
90220,3
90221,3
90222,3
90223,1
90224,1
90230,2
90231,1
90232,2
90233,1
90239,1
90240,2
90241,2
90242,2
90245,2
90247,2
90248,2
90249,2
90250,2
90251,1
90254,2
90255,3
90260,2
90261,1
90262,3
90263,2
90264,1
90265,2
90266,2
90267,1
90270,3
90271,1
90272,2
90274,2
90275,2
90277,2
90278,2
90280,3
90290,2
90291,2
90292,2
90293,2
90294,1
90295,1
90296,1
90301,3
90302,2
90303,3
90304,2
90305,2
90308,1
90309,1
90310,1
90311,1
90320,1
90401,2
90402,2
90403,2
90404,2
90405,2
90406,1
90407,1
90408,1
90409,1
90428,1
90501,2
90502,2
90503,2
90504,2
90505,2
90506,1
90508,1
90509,1
90510,1
90601,2
90602,3
90603,2
90604,2
90605,2
90606,3
90607,1
90608,1
90609,1
90610,1
90620,2
90621,2
90622,1
90623,2
90625,1
90630,2
90631,2
90632,1
90633,1
90637,1
90638,2
90639,2
90640,2
90650,2
90651,1
90652,1
90660,3
90662,1
90670,3
90680,2
90683,1
90700,1
90701,2
90702,1
90703,2
90704,1
90706,2
90707,1
90710,2
90711,1
90712,2
90713,2
90714,1
90715,2
90716,3
90717,2
90720,2
90722,1
90723,3
90727,1
90731,2
90732,2
90733,1
90734,1
90740,2
90742,2
90743,2
90744,3
90745,2
90746,2
90747,3
90748,1
90749,1
90755,2
90801,1
90802,2
90803,2
90804,2
90805,2
90806,2
90807,2
90808,2
90809,1
90810,2
90813,3
90814,2
90815,2
90822,3
90831,1
90832,1
90840,2
90853,1
90880,1
90895,1
90914,1
91001,2
91003,1
91006,2
91007,2
91008,2
91009,1
91010,2
91011,2
91012,1
91016,2
91017,1
91020,2
91021,1
91024,2
91025,1
91030,2
91031,1
91040,1
91041,1
91042,2
91043,1
91046,2
91066,1
91077,1
91091,1
91101,2
91102,1
91103,2
91104,2
91105,2
91106,2
91107,2
91108,2
91109,1
91114,1
91115,1
91116,1
91117,1
91118,1
91124,1
91125,2
91126,1
91201,2
91202,2
91203,2
91204,2
91205,2
91206,2
91207,2
91208,2
91209,1
91210,2
91214,2
91221,1
91222,1
91224,1
91225,1
91226,1
91301,2
91302,2
91303,3
91304,2
91305,1
91306,2
91307,2
91308,1
91309,1
91310,1
91311,2
91313,1
91316,2
91319,1
91320,2
91321,2
91322,1
91324,2
91325,2
91326,2
91327,1
91328,1
91330,3
91331,3
91333,1
91334,1
91335,2
91336,1
91337,1
91340,3
91341,1
91342,3
91343,2
91344,2
91345,3
91346,1
91350,2
91351,2
91352,3
91353,1
91354,2
91355,2
91356,2
91357,1
91358,1
91359,1
91360,2
91361,2
91362,2
91363,1
91364,2
91365,1
91367,2
91371,2
91372,1
