,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-0.07311981410773497,0.671038342787279,-0.10896518044560405,0.91323010782345,-1.388330798216245,1.242091170000775
log_median_household_income,0.01260487605905183,0.05512338126025176,0.22866659792767333,0.8191280579481668,-0.09543496591711174,0.12064471803521541
pct_black,-0.22350367460471063,0.12922673789451775,-1.7295466731284908,0.08371130075007652,-0.4767834267175628,0.02977607750814157
pct_hispanic,-0.014778077188328225,0.06918215311216143,-0.21361111968240273,0.8308503272905589,-0.15037260566110022,0.12081645128444378
pct_asian,0.12145188672717892,0.06608397843782972,1.8378416311820278,0.06608574508029083,-0.00807033096608882,0.25097410442044665
poverty_rate,0.3168883354718093,0.27431373472112075,1.1552040432608004,0.24800687938384625,-0.22075670504626188,0.8545333759898804
cdd65_2023,-7.55879824778111e-06,2.2542058721982377e-05,-0.33531978338828405,0.7373838717554619,-5.1740421480253574e-05,3.662282498469135e-05
hdd65_2023,3.838682628495572e-05,1.6461257963888044e-05,2.331949743401567,0.01970333517031541,6.123353535512011e-06,7.065029903439944e-05
plant_capacity_mw,0.04971602829764464,0.01976376993608691,2.5155134095579372,0.011885915563583684,0.010979751024178815,0.08845230557111047
storage_capacity_mw,0.02643107979324073,0.009701116479338629,2.7245399897561753,0.0064391132011117885,0.0074172408839090105,0.045444918702572445
wind_capacity_mw,6.347250691459853e-06,0.0008385377653523058,0.007569427345699927,0.9939605284599609,-0.0016371565690757584,0.001649851070458678
wind_turbine_count,0.0008760460920366397,0.0006222585004733414,1.40784913564097,0.15917574722412364,-0.00034355815796500945,0.002095650342038289
PV_system_size_DC,-0.0008890598088237558,0.0008367969493776166,-1.0624558436607718,0.288028793699904,-0.002529151691976871,0.0007510320743293595
