,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.18140087871010385,0.1454231499198925,1.2474002853743023,0.21225076197748238,-0.1036232576512543,0.466425015071462
C(utility)[T.San Diego Gas & Electric],-0.012443209082662637,0.005194703802158572,-2.395364501339243,0.016603849929200887,-0.022624641445246722,-0.0022617767200785524
C(utility)[T.Southern California Edison],-0.007293396661887803,0.004485065164158784,-1.6261517714772709,0.10391737292778666,-0.016083962851954244,0.0014971695281786384
log_median_household_income,-0.013135652833071339,0.011599022891512104,-1.1324792576005436,0.25743300004940517,-0.0358693199562907,0.009598014290148026
pct_black,0.00032770821829829374,0.020425150437648996,0.01604434783962424,0.9871990117803755,-0.039704851018306266,0.04036026745490285
pct_hispanic,-0.020863181839752217,0.013799944308415512,-1.5118308721745628,0.1305768934768481,-0.047910575672905124,0.00618421199340069
pct_asian,0.004421648299495785,0.007245906868351328,0.6102270398766316,0.5417114201011907,-0.009780068197804227,0.0186233647967958
poverty_rate,0.02246720042448898,0.06300822198633667,0.3565756930795633,0.7214094769456845,-0.10102664539863568,0.14596104624761363
cdd65_2023,-2.1178865138844288e-06,2.245759331757479e-06,-0.9430603199261874,0.34565005041007224,-6.519493922073826e-06,2.2837208943049687e-06
hdd65_2023,-5.373483182983284e-06,2.4902394775212927e-06,-2.157817845025846,0.030941996895835853,-1.025426287180486e-05,-4.927034941617085e-07
