,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.1344811310463663,0.15454794529715507,0.8701580004043046,0.3842140646809149,-0.16842727562072404,0.4373895377134567
C(county_geoid)[T.6005.0],-0.01244863912932327,0.008143002286279727,-1.5287529944942024,0.1263256892496372,-0.02840863033645885,0.0035113520778123127
C(county_geoid)[T.6007.0],-0.014669210225590505,0.0076205219469501675,-1.9249613514283381,0.05423419354325421,-0.029605158785009883,0.000266738333828875
C(county_geoid)[T.6009.0],-0.015184412577976668,0.0074339591400445805,-2.0425741239526922,0.041094614801407095,-0.029754704755006398,-0.0006141204009469381
C(county_geoid)[T.6011.0],-0.0043733046364835,0.00607096417501864,-0.7203640987504382,0.4713008484264317,-0.016272175770952958,0.007525566497985956
C(county_geoid)[T.6013.0],-0.0018833377283121182,0.004616032238200887,-0.40799925804810994,0.6832742196162569,-0.010930594666661672,0.007163919210037437
C(county_geoid)[T.6015.0],-0.014057177595233082,0.009034294471483073,-1.5559795664846698,0.11971295136927035,-0.03176406938506923,0.0036497141946030646
C(county_geoid)[T.6017.0],0.008496042474584124,0.020444682695233536,0.4155624521658577,0.6777302070136779,-0.03157479928342289,0.04856688423259114
C(county_geoid)[T.6019.0],-0.002190350015502117,0.00842047589251114,-0.2601218795068499,0.7947697612886075,-0.018694179497511718,0.014313479466507482
C(county_geoid)[T.6021.0],-0.007058662996944388,0.0067681863173000125,-1.0429179496583738,0.2969862955626199,-0.020324064419509194,0.006206738425620419
C(county_geoid)[T.6023.0],-0.018459191128158237,0.008965779457190237,-2.058849564200982,0.03950865190319347,-0.03603179595758017,-0.0008865862987362978
C(county_geoid)[T.6025.0],-0.009904036183482613,0.006379470742003205,-1.5524855562504962,0.12054608609095376,-0.02240756907823591,0.0025994967112706845
C(county_geoid)[T.6027.0],-0.01799248659058375,0.010825485950871936,-1.662048860645794,0.09650297804938754,-0.039210049169437086,0.003225075988269585
C(county_geoid)[T.6029.0],-0.0042893635132028405,0.009413493169514012,-0.4556611914367901,0.6486336331727669,-0.022739471094164104,0.014160744067758425
C(county_geoid)[T.6031.0],-0.007429629116744892,0.005060736468870637,-1.46809247279436,0.14207910594830298,-0.01734849033097975,0.0024892320974899667
C(county_geoid)[T.6033.0],-0.01620870426855006,0.008619967079423559,-1.8803673052581986,0.06005803622297541,-0.03310352929214115,0.0006861207550410281
C(county_geoid)[T.6035.0],-0.014626463393383339,0.008102449513855442,-1.8051903153943298,0.0710449059034768,-0.030506972627094075,0.0012540458403273967
C(county_geoid)[T.6037.0],-0.0019844132178558974,0.004813270088045407,-0.41227963142657065,0.6801344762249955,-0.01141824923828883,0.007449422802577035
C(county_geoid)[T.6039.0],-0.009701843843465808,0.005686878389683915,-1.7060051540868364,0.08800711997771879,-0.02084792067170542,0.0014442329847738043
