,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.11628931580052071,0.13688423851560727,0.8495449663275997,0.39557812013476445,-0.15199886174126004,0.38457749334230146
log_median_household_income,-0.008413046711687364,0.010994285640398123,-0.7652199503325541,0.44414058176495375,-0.02996145060261357,0.013135357179238841
pct_black,-0.0004422240617623671,0.02047309472589159,-0.021600254757923928,0.9827668303125485,-0.04056875237658681,0.03968430425306208
pct_hispanic,-0.018972600673914174,0.012035935466029464,-1.5763295447589374,0.1149498761523151,-0.042562600707580237,0.004617399359751889
pct_asian,0.004881871582265562,0.006781889488945789,0.7198394474316956,0.4716238538929214,-0.008410387563198939,0.01817413072773006
poverty_rate,0.02317180878485962,0.050919906576632895,0.45506385110873604,0.6490633034585828,-0.07662937420148509,0.12297299177120434
cdd65_2023,-2.0400773529107143e-06,2.3112780460880317e-06,-0.8826620217172314,0.3774189074915322,-6.570099081501363e-06,2.489944375679935e-06
hdd65_2023,-2.7654287253614986e-06,1.738800788517232e-06,-1.5904229763547133,0.11173949466611431,-6.17341564714512e-06,6.425581964221235e-07
plant_capacity_mw,0.0050383792622551715,0.005288276083259947,0.9527451258084227,0.34071922343080197,-0.005326451401238866,0.01540320992574921
storage_capacity_mw,-0.0017489743171844097,0.0009131067648113292,-1.915410535312146,0.05544016862937114,-0.0035386306902545003,4.068205588568107e-05
wind_capacity_mw,-2.3315814749778165e-05,1.3927022752994762e-05,-1.6741420735285657,0.09410268065962737,-5.0612277757517774e-05,3.980648257961443e-06
wind_turbine_count,1.0152974686644268e-05,9.70395744202624e-06,1.0462715595467689,0.29543567233306345,-8.866432407236593e-06,2.917238178052513e-05
PV_system_size_DC,1.2683880720580687e-06,0.00013599859091139544,0.009326479513927004,0.992558653868058,-0.0002652839520624733,0.0002678207282065894
