,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-0.4420906804419554,0.14216069601795472,-3.109795413396962,0.0018721696795415328,-0.7207205246542934,-0.16346083622961743
log_median_household_income_c,0.07210118043608416,0.048332768283081265,1.491766000527699,0.13576049993289593,-0.022629304671874947,0.16683166554404327
pct_black_c,-0.6031617974827176,0.09233598737042076,-6.5322504763287625,6.47886819891774e-11,-0.7841370072056876,-0.4221865877597476
pct_hispanic_c,-0.06953314740847978,0.0470137438229186,-1.4789961775939924,0.13914133641278864,-0.16167839207979268,0.022612097262833114
pct_asian_c,-0.6848844361370876,0.055001265407528595,-12.452157801506514,1.361146780738356e-35,-0.7926849354399724,-0.5770839368342028
poverty_rate,-0.2702637907478234,0.24253594993991656,-1.1143246632706445,0.26513993004154734,-0.7456255175862694,0.20509793609062255
ghi_mean_kwh_m2_day_2023,0.16479098138712903,0.02792561310979266,5.901069413918861,3.611529081692351e-09,0.11005778544573583,0.21952417732852222
log_median_household_income_c:pct_black_c,0.594789506365831,0.345387044016701,1.7220955929576511,0.0850522033157263,-0.08215666063365323,1.2717356733653153
log_median_household_income_c:pct_hispanic_c,-0.35375513562629074,0.13987467830047134,-2.5290863215883346,0.011435989699641763,-0.6279044674443408,-0.07960580380824067
log_median_household_income_c:pct_asian_c,0.40168042545907373,0.11110842236482009,3.615211312605736,0.0003001027319353916,0.1839119192449617,0.6194489316731857
