,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-6.6913023247404135,1.5058495935682217,-4.443539615988393,8.84908534077756e-06,-9.642713294268406,-3.739891355212421
log_median_household_income,0.7758191748047725,0.12212757880709936,6.352530545374846,2.118013509331025e-10,0.5364535188237806,1.0151848307857643
pct_black,-1.6554473996638754,0.3275887988459233,-5.053431025407225,4.3394307401688165e-07,-2.297509647140622,-1.0133851521871293
pct_hispanic,-0.6212070723088973,0.12573078844305818,-4.940771309886709,7.781413321739138e-07,-0.8676348894051161,-0.3747792552126784
pct_asian,-1.7751223057195422,0.16159067836513977,-10.985301402772578,4.497348934733471e-28,-2.0918342155526117,-1.4584103958864727
poverty_rate,-0.2686939607089435,0.5611295129226828,-0.4788448201724982,0.6320490286314322,-1.3684875966999046,0.8310996752820174
cdd65_2023,4.607223501183548e-05,4.619154241044391e-05,0.9974171159397904,0.3185620867728054,-4.4461524502989055e-05,0.00013660599452666
hdd65_2023,-1.3251763282347498e-06,3.273989803506697e-05,-0.040475884403041916,0.9677137327408879,-6.54941973344797e-05,6.28438446780102e-05
plant_mw_per_100k,0.0024838307405424666,0.0016266517890316057,1.5269590930835695,0.1267711837344462,-0.0007043481813471266,0.005672009662432059
wind_mw_per_100k_ctrl,0.00022385489813894064,8.848751114533838e-05,2.5297908737795205,0.011413052928247935,5.042256321249078e-05,0.0003972872330653905
turbines_per_100k,-0.00012961899635999268,6.362829181287906e-05,-2.0371283381484147,0.04163718277394847,-0.0002543281567110404,-4.909836008944949e-06
