,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-8.177777446636505,1.813000379307849,-4.510631955718918,6.463477943564099e-06,-11.731192894037346,-4.6243619992356635
log_median_household_income,0.8738469737869634,0.14867412170633576,5.877599704358801,4.162580043962868e-09,0.5824510498094206,1.1652428977645062
pct_black,-1.693392405499312,0.2841339584387662,-5.9598381510045915,2.5248787707438845e-09,-2.2502847308240943,-1.1365000801745295
pct_hispanic,-0.9390552036901326,0.12558793727546588,-7.477272292723458,7.588108805990344e-14,-1.1852030376427212,-0.6929073697375441
pct_asian,-1.5698802142447894,0.16353968230921348,-9.59938402764248,8.042360140566369e-22,-1.89041210161397,-1.2493483268756087
poverty_rate,-0.9881236015034844,0.48873426526610086,-2.0218013585879464,0.04319687737492034,-1.9460251594356872,-0.030222043571281665
cdd65_2023,6.8920105260840575e-06,7.435989132144677e-05,0.09268451585399606,0.9261541986130978,-0.00013885069835826413,0.00015263471941043226
hdd65_2023,1.3415427268290323e-05,4.4141196857728127e-05,0.30392078655070687,0.7611882410263346,-7.309972880734942e-05,9.993058334393006e-05
log_kwh,0.002276051040105762,0.00259873719143183,0.8758296327962748,0.38112265806532664,-0.002817380260385397,0.007369482340596921
energy_burden_pct,28.529038737226927,10.948541433094965,2.6057387563050267,0.00916763549392106,7.070291845116245,49.98778562933761
log_energy_gap_per_capita,0.016226871388190036,0.010047659303005952,1.6149902080512875,0.10631281539863295,-0.003466178974630453,0.035919921751010525
