,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-4.093887817097919,1.6497715321514752,-2.4814877316734028,0.01308352140878298,-7.327380602834274,-0.8603950313615636
log_median_household_income,0.5331190983444729,0.1445538186309796,3.6880319274403393,0.00022599529846901434,0.24979882000001785,0.816439376688928
pct_black,-1.2970912242042412,0.2859420999065764,-4.536202345258112,5.727623015456551e-06,-1.8575274416848848,-0.7366550067235975
pct_hispanic,-1.0029402270227052,0.144816844572507,-6.925577131467966,4.342016768488358e-12,-1.2867760267395538,-0.7191044273058568
pct_asian,-1.1361357314716074,0.16184938263973955,-7.019710010266343,2.223292042225539e-12,-1.4533546923655392,-0.8189167705776756
poverty_rate,-0.028135574959298217,0.5448917730476048,-0.05163516197342208,0.9588194014957617,-1.0961038256047766,1.0398326756861802
log_kwh,0.010839904351514421,0.002773543043506762,3.90832382316622,9.293868288588134e-05,0.0054038598766695594,0.01627594882635928
cdd65_2023,-0.00016319180013508243,5.676378884946277e-05,-2.874927897569807,0.004041197715573049,-0.00027444678190606574,-5.19368183640991e-05
hdd65_2023,5.788580513767883e-05,2.9817426960539195e-05,1.9413413912033968,0.05221688213263633,-5.552778166316016e-07,0.00011632688809198926
pct_bachelors_plus,-0.6110643946293062,0.23504009389617275,-2.5998304565826094,0.009326982868758311,-1.0717345135887173,-0.150394275669895
plant_mw_per_100k,-0.0014322936235479974,0.001218555158240816,-1.1754031927580102,0.23983344676077345,-0.003820617846875503,0.0009560305997795083
wind_mw_per_100k_ctrl,4.125168978547453e-05,5.166725962911154e-06,7.984106391861272,1.4154390504621243e-15,3.112509298018064e-05,5.137828659076842e-05
y_pv,1.1434121626402671,0.17516447563270823,6.527648705653187,6.681016529860198e-11,0.8000960990293151,1.4867282262512191
