,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.771189222204038,0.8392361735200786,0.9189179953592496,0.35813846661779736,-0.8736834524185235,2.4160618968265997
log_median_household_income,-0.1003127520646137,0.07080740716457933,-1.4166985641975902,0.15657107702038364,-0.23909271994585257,0.03846721581662517
pct_black,0.08922659242571833,0.23898624285558648,0.3733545134630857,0.7088846088476981,-0.37917783637177394,0.5576310212232106
pct_hispanic,0.06793283749294443,0.09564722191048296,0.7102437074076584,0.4775530212792536,-0.1195322726729125,0.25539794765880136
pct_asian,-0.13044446601960089,0.1058691738087754,-1.232128874975583,0.21790094669202387,-0.33794423375781185,0.07705530171861008
poverty_rate,-0.35025556848086714,0.32733160846959675,-1.0700328334267775,0.2846045299936725,-0.9918137320828428,0.29130259512110857
wind_ws50m_mean_2023,0.11139485431152986,0.037024580529518646,3.0086729604598195,0.0026239139928052016,0.038828009930970395,0.18396169869208934
plant_capacity_mw,-0.01797462807251139,0.007530490218497277,-2.3869134081550216,0.016990492632205638,-0.03273411768669721,-0.0032151384583255643
storage_capacity_mw,0.006639388103743172,0.01402053978666889,0.47354725315612184,0.6358227970100808,-0.020840364921938748,0.03411914112942509
wind_turbine_count,0.00654370315467907,0.0018911541538092775,3.4601638060537505,0.0005398468791093082,0.0028371091239995636,0.010250297185358576
PV_system_size_DC,0.0013861835531957301,0.0014140368663977082,0.9803022722647006,0.32693693342775365,-0.001385277777755654,0.004157644884147114
