outcome,term,n_sig,n_total
any_turbines,log_median_household_income,1,48
any_turbines,pct_asian,2,48
any_turbines,pct_black,12,48
any_turbines,pct_hispanic,4,48
energy_burden_pct,log_median_household_income,48,48
energy_burden_pct,pct_asian,48,48
energy_burden_pct,pct_black,22,48
energy_burden_pct,pct_hispanic,20,48
log_energy_gap_per_capita,log_median_household_income,29,48
log_energy_gap_per_capita,pct_asian,37,48
log_energy_gap_per_capita,pct_black,0,48
log_energy_gap_per_capita,pct_hispanic,43,48
y_chargers,log_median_household_income,15,48
y_chargers,pct_asian,4,48
y_chargers,pct_black,0,48
y_chargers,pct_hispanic,22,48
y_dc_fast_chargers,log_median_household_income,29,48
y_dc_fast_chargers,pct_asian,4,48
y_dc_fast_chargers,pct_black,24,48
y_dc_fast_chargers,pct_hispanic,1,48
y_level1_chargers,log_median_household_income,4,48
y_level1_chargers,pct_asian,0,48
y_level1_chargers,pct_black,0,48
y_level1_chargers,pct_hispanic,0,48
y_level2_chargers,log_median_household_income,11,48
y_level2_chargers,pct_asian,2,48
y_level2_chargers,pct_black,0,48
y_level2_chargers,pct_hispanic,24,48
y_pv,log_median_household_income,46,48
y_pv,pct_asian,34,48
y_pv,pct_black,28,48
y_pv,pct_hispanic,31,48
y_storage,log_median_household_income,44,48
y_storage,pct_asian,48,48
y_storage,pct_black,36,48
y_storage,pct_hispanic,44,48
y_wind_mw,log_median_household_income,0,48
y_wind_mw,pct_asian,0,48
y_wind_mw,pct_black,0,48
y_wind_mw,pct_hispanic,0,48
