,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.025899280575539564,0.004208255535011709,6.154398267895941,7.536308109165012e-10,0.01765125128917528,0.03414730986190385
log_median_household_income,-0.0028999920060843944,0.006876276730133958,-0.42173869957498045,0.6732157538870538,-0.0163772467448778,0.010577262732709012
pct_black,0.011196588412041807,0.0049628122692824345,2.2560975117563142,0.024064524938311165,0.0014696551022147387,0.020923521721868878
pct_hispanic,0.010070457957407226,0.005164871367629908,1.9497984055367534,0.051200151692097275,-5.250390792952732e-05,0.02019341982274398
pct_asian,-0.0027485701403915,0.0034392594544297253,-0.7991749900843842,0.4241889516950904,-0.009489394804562637,0.003992254523779637
poverty_rate,-0.003693239349653969,0.005306245322609711,-0.6960174520987968,0.486417900369045,-0.014093289075103124,0.006706810375795185
wind_ws50m_mean_2023,0.020791505653106734,0.0055695477242111,3.733068946105808,0.000189160788178675,0.009875392703475957,0.03170761860273751
pct_multifamily_units,-0.01140170039003207,0.0037343699701612035,-3.0531791121756173,0.0022643074399582444,-0.018720931036495945,-0.004082469743568195
pct_mobile_home_units,0.004769641326508279,0.0066336676029112186,0.7190051736109144,0.472137731990806,-0.00823210826060786,0.01777139091362442
pct_other_housing_units,-0.005979321920967954,0.00238708718776074,-2.504861134367274,0.012249947798525961,-0.010657926836936006,-0.0013007170049999014
