,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.025974025974025972,0.0042221501743176905,6.151847968842898,7.658527551873078e-10,0.017698763695043786,0.03424928825300816
log_median_household_income,-0.004150784479048877,0.007126439702078977,-0.5824485511100277,0.5602645867261217,-0.018118349633120024,0.009816780675022268
pct_black,0.011379300059995209,0.0050017443547668615,2.275066307447377,0.022901952453697607,0.0015760612647756286,0.02118253885521479
pct_hispanic,0.011756816728818974,0.0053587859877637836,2.193932871300405,0.028240235832270085,0.0012537891919440596,0.022259844265693888
pct_asian,-0.00247837688804117,0.0033960433021484903,-0.7297836533689771,0.46552243796509274,-0.009134499450190688,0.004177745674108347
poverty_rate,-0.004091458487737262,0.005296209447213147,-0.7725258089802657,0.43980306692605386,-0.01447183825885582,0.006288921283381294
wind_ws50m_mean_2023,0.020864522213196936,0.005584979277418534,3.7358280446191467,0.00018709849356863287,0.009918163975054075,0.0318108804513398
pct_multifamily_units,-0.005644714424592254,0.007163113262840392,-0.7880252925602845,0.43068191165782355,-0.019684158436940616,0.00839472958775611
pct_mobile_home_units,0.003192233086856034,0.0064479018746495444,0.49508090366675095,0.6205430130196177,-0.009445422363305372,0.01582988853701744
owner_occupied_rate,0.006880523873841275,0.007669370009291771,0.897143294104369,0.3696424592161198,-0.008151165128482216,0.021912212876164766
