,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.025899280575539564,0.004184132882563917,6.189880030690905,6.021002247062822e-10,0.01769853081918453,0.0341000303318946
log_median_household_income,-0.012869763562872533,0.0059543885924526465,-2.1613912768785895,0.030665127366160515,-0.024540150754035865,-0.0011993763717092001
pct_black,0.007325341572125033,0.004183267024282777,1.7511054230110892,0.07992775227839294,-0.0008737111331832545,0.01552439427743332
pct_hispanic,0.00529838989942022,0.005190028471457487,1.020878773316691,0.30731187706518914,-0.004873878983373921,0.015470658782214361
pct_asian,-0.006340682426723587,0.0032124723256249394,-1.9737702878078802,0.048407868776882135,-0.012637012486280097,-4.435236716707723e-05
poverty_rate,-0.007707042248005633,0.004913020907053884,-1.568697221894624,0.11671850624677248,-0.017336386281123554,0.001922301785112288
wind_ws50m_mean_2023,0.022781439766799146,0.005653820331281918,4.029388702140416,5.592208455492353e-05,0.011700155542426269,0.033862723991172024
plant_capacity_mw,0.0012194009750782927,0.00561094486779406,0.21732542447127973,0.827954744687114,-0.00977784888503792,0.012216650835194506
storage_capacity_mw,0.009376908967962816,0.006855870280807732,1.367719718124256,0.17139982543072552,-0.004060349865098846,0.02281416780102448
PV_system_size_DC,0.014742862154275102,0.008984238623761595,1.6409695658887609,0.10080373290757494,-0.0028659219768113232,0.032351646285361524
