,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.028936503577661716,0.004799584049549734,6.028960693036796,1.6501741268838077e-09,0.01952949169977133,0.038343515455552105
log_median_household_income,0.019282409756259895,0.013604534262710266,1.4173516993604525,0.15638012682276017,-0.0073819874250934045,0.045946806937613195
pct_black,0.00969668581894799,0.005359191715235656,1.8093560249731806,0.07039571031695915,-0.0008071369291593345,0.02020050856705531
pct_hispanic,4.4176879043503724e-05,0.00897056456989324,0.0049246486884191145,0.9960707147264176,-0.017537806598938287,0.017626160357025297
pct_asian,-0.0026782506728527562,0.003722527674487632,-0.7194709904262538,0.47185077010915555,-0.009974270846302157,0.004617769500596645
poverty_rate,-0.0018319778397564912,0.007031993075838979,-0.26052042713906115,0.7944623605881973,-0.015614431007935928,0.011950475328422944
wind_ws50m_mean_2023,0.023665094746883466,0.006376077659748257,3.711544308231939,0.00020599859885050503,0.01116821217114645,0.036161977322620484
pct_bachelors_plus,-0.017950230048659317,0.012694750023044566,-1.41398846106261,0.15736529050333747,-0.042831482886565686,0.006931022789247052
log_median_housing_value,-0.02414927324631433,0.010394162133119327,-2.323349678120428,0.020160375093876227,-0.04452145667669823,-0.0037770898159304248
pct_multifamily_units,-0.002406667794198909,0.010031745497024784,-0.23990518847519393,0.8104037584851944,-0.02206852767043935,0.017255192082041532
pct_mobile_home_units,-0.0048217180336904055,0.005267837091868573,-0.9153126700013567,0.3600275095449875,-0.015146489010177023,0.005503052942796212
pct_other_housing_units,-0.008048069579364502,0.0027840624297089307,-2.890764766437337,0.0038430565901711447,-0.013504731672305082,-0.0025914074864239224
owner_occupied_rate,0.0014092861462688209,0.012712017094847768,0.11086251188570304,0.9117253734808083,-0.023505809530490293,0.02632438182302793
