,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.10672645371833547,0.021248316566276074,5.022819261255014,5.091845714260903e-07,0.06508051851632858,0.14837238892034238
C(utility)[T.San Diego Gas & Electric],0.08316199551617734,0.08410988539576446,0.9887303391851388,0.32279509474940016,-0.08169035060331248,0.24801434163566716
C(utility)[T.Southern California Edison],0.10564856948704769,0.08218322073560455,1.2855248132332828,0.19860895154176428,-0.055427583288242585,0.26672472226233795
C(county_geoid)[T.06005],-0.154803585128644,0.04075363491606745,-3.798522155078036,0.00014556141959467546,-0.23467924180323024,-0.07492792845405778
C(county_geoid)[T.06007],-0.1403443221231704,0.04173683036075303,-3.3626013501768535,0.0007721177724249123,-0.22214700645910423,-0.0585416377872366
C(county_geoid)[T.06009],-0.15465588920375126,0.03868721385818526,-3.9975969779232345,6.398877816368197e-05,-0.23048143502799323,-0.07883034337950928
C(county_geoid)[T.06013],-0.0701567028484556,0.009881749357240928,-7.099623792526951,1.2509694899087455e-12,-0.08952457569289965,-0.05078883000401155
C(county_geoid)[T.06017],-0.1468350952568273,0.037238171626110365,-3.94313385552664,8.042373748460495e-05,-0.21982057049412496,-0.07384962001952965
C(county_geoid)[T.06019],-0.1505128212780098,0.04290316327326807,-3.5081986920015926,0.0004511519635116131,-0.2346014761164568,-0.06642416643956281
C(county_geoid)[T.06023],-0.14141401133573098,0.04957441713869084,-2.8525602417090856,0.004336859140604579,-0.23857808348213022,-0.04424993918933173
C(county_geoid)[T.06029],-0.12224266710711387,0.046949244403365994,-2.6037195840014364,0.009221817321127727,-0.21426149523907992,-0.030223838975147826
C(county_geoid)[T.06031],-0.19956528599160173,0.04788390262786157,-4.167690498048155,3.07701335399042e-05,-0.29341601058143324,-0.1057145614017702
C(county_geoid)[T.06033],-0.14848050783318212,0.04866912762855642,-3.0508150663062583,0.002282210958297351,-0.243870245144136,-0.05309077052222824
C(county_geoid)[T.06037],-0.17394189977152835,0.0825331468140741,-2.1075398974350827,0.03507080711237394,-0.3357038950578703,-0.01217990448518641
C(county_geoid)[T.06039],-0.15292134326353302,0.03707285667189745,-4.124886965601787,3.709168762011321e-05,-0.22558280714446746,-0.08025987938259857
C(county_geoid)[T.06041],-0.014414701362243853,0.013563114094178654,-1.0627870017277745,0.2878785554586474,-0.040997916505041615,0.012168513780553907
C(county_geoid)[T.06045],-0.1252144784408606,0.04245830914838863,-2.9491159905413404,0.003186843445851733,-0.2084312352161698,-0.04199772166555138
C(county_geoid)[T.06047],-0.1475979833596734,0.042676258037209404,-3.4585502606855267,0.000543090931946881,-0.23124191210754186,-0.06395405461180494
C(county_geoid)[T.06053],0.03567239414670246,0.021624424030844306,1.6496344178148112,0.09901773109111874,-0.006710698140174845,0.07805548643357976
C(county_geoid)[T.06055],-0.09141253230747413,0.017038549839865476,-5.365041812044015,8.093046955526828e-08,-0.12480747634240116,-0.0580175882725471
C(county_geoid)[T.06057],-0.14424656333046626,0.040081431951060696,-3.598837574131355,0.0003196427419768229,-0.2228047264033382,-0.0656884002575943
C(county_geoid)[T.06059],-0.18144850537175236,0.08002152108717428,-2.267496329819637,0.02335992285401203,-0.3382878046907264,-0.024609206052778304
C(county_geoid)[T.06061],-0.13646017285257328,0.03042434222618374,-4.4852300121424875,7.283532038285054e-06,-0.19609078786921458,-0.07682955783593198
C(county_geoid)[T.06065],-0.13813717323407887,0.07508387575178475,-1.8397714802408203,0.06580179418674281,-0.28529886552725725,0.009024519059099512
C(county_geoid)[T.06067],-0.1580321400040105,0.04741050247772877,-3.3332728350273566,0.0008583072957440976,-0.2509550173493059,-0.06510926265871511
C(county_geoid)[T.06071],-0.18579707738747528,0.07710895826513113,-2.409539456474452,0.015972668843024795,-0.3369278584725344,-0.03466629630241613
C(county_geoid)[T.06073],-0.18599790539107536,0.07580626282139269,-2.4535955008005796,0.014143597790087057,-0.3345754503235827,-0.037420360458567975
C(county_geoid)[T.06075],-0.01737225815191181,0.016312944116505083,-1.0649370234974898,0.2869044293908528,-0.04934504110207635,0.014600524798252724
C(county_geoid)[T.06077],-0.06738278822362526,0.02437333587368448,-2.764610826061665,0.005699074400643956,-0.11515364871914494,-0.019611927728105584
C(county_geoid)[T.06079],-0.10412729929709011,0.02772529285054258,-3.7556789700438586,0.0001728721728126775,-0.15846787474497942,-0.049786723849200805
C(county_geoid)[T.06081],-0.05097657021693467,0.012235766152589632,-4.166193565749519,3.097277448391427e-05,-0.07495823119926458,-0.026994909234604767
C(county_geoid)[T.06083],-0.08080448298904067,0.0441896019299278,-1.8285858993971862,0.06746166663907055,-0.16741451126286083,0.005805545284779501
C(county_geoid)[T.06085],-0.04998054161767807,0.01171482237461456,-4.266436145543566,1.986203086943483e-05,-0.0729411715572066,-0.02701991167814954
C(county_geoid)[T.06087],-0.08270581910690422,0.018378616375416913,-4.500111293336034,6.791789372479203e-06,-0.11872724528839944,-0.046684392925409005
C(county_geoid)[T.06089],-0.08152095686145698,0.04728931395314913,-1.7238769194711117,0.0847300647806718,-0.17420630906323673,0.011164395340322764
C(county_geoid)[T.06095],0.2223647999293804,0.017307612755152427,12.847803049163037,8.848772080071438e-38,0.18844250227091558,0.25628709758784524
C(county_geoid)[T.06097],-0.10483250774868035,0.0245865056726063,-4.263822974465308,2.0095867677651052e-05,-0.15302117337267843,-0.056643842124682264
C(county_geoid)[T.06099],-0.17315610464753856,0.050498182465228275,-3.4289571662657226,0.0006059051438289393,-0.27213072356411805,-0.07418148573095906
C(county_geoid)[T.06103],0.056619864238169615,0.04669039107460212,1.2126663095989523,0.22525742558747952,-0.03489162069214094,0.14813134916848017
C(county_geoid)[T.06107],-0.19769786585036198,0.06058799753737395,-3.2629872893292315,0.001102444642759388,-0.3164481589190164,-0.07894757278170755
C(county_geoid)[T.06109],-0.15158689973001344,0.04388278005970551,-3.4543595351928285,0.0005516014734652584,-0.23759556818852867,-0.0655782312714982
C(county_geoid)[T.06111],-0.215477745890231,0.07981729019247465,-2.6996374516175536,0.006941507491545926,-0.3719167600110634,-0.05903873176939861
C(county_geoid)[T.06113],-0.005449136594418286,0.02468022834791599,-0.22078955338670572,0.8252562980566726,-0.05382149528655811,0.042923222097721536
