,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.022080650974632632,0.00012564307920628426,175.74108430103033,0.0,0.0218343950644816,0.022326906884783664
log_median_household_income,-0.0018726953503683268,0.00039799247571598744,-4.705353655240222,2.53426245649706e-06,-0.0026527462688895943,-0.0010926444318470592
pct_black,-0.00017514632393296424,0.00011584956213258056,-1.5118427787627136,0.13057386374163596,-0.0004022072933375574,5.191464547162894e-05
pct_hispanic,-0.0006920696208676969,0.00027363424582908547,-2.529177657463131,0.011433013944063677,-0.0012283828876294839,-0.0001557563541059099
pct_asian,-0.0009410072728361857,0.00012135773325369253,-7.75399513164155,8.90457430239375e-15,-0.001178864059258842,-0.0007031504864135295
poverty_rate,0.0010224721987739122,0.00028463749457659004,3.592190833097662,0.00032790957388297985,0.0004645929607540808,0.0015803514367937438
cdd65_2023,0.003454333935921355,0.0002175614570833245,15.877508738132645,9.071025794480353e-57,0.0030279213156139827,0.0038807465562287276
hdd65_2023,0.0024990608302307587,0.00017892419736855283,13.967148473960325,2.473327664352867e-44,0.002148375847425659,0.0028497458130358586
ghi_mean_kwh_m2_day_2023,0.00022813790542660855,0.00018751207166514382,1.2166571645265256,0.22373468326230594,-0.00013937900170356692,0.000595654812556784
pct_bachelors_plus,-0.003330139784108164,0.0003335737095327879,-9.98322016675848,1.8051145261701416e-23,-0.003983932240981853,-0.0026763473272344743
