,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.022080058101297487,0.0001199150838949636,184.1307814172729,0.0,0.02184502885566026,0.022315087346934714
log_median_household_income,-0.001390813341005149,0.000316576909725264,-4.393287375924364,1.1164938277822246e-05,-0.0020112926824036544,-0.0007703339996066438
pct_black,-2.975320877739168e-05,0.00011433453377980911,-0.26022941445400766,0.7946868161965138,-0.0002538447771749957,0.0001943383596202124
pct_hispanic,0.0003656443794504159,0.0001933948853004141,1.890662097306422,0.058669465130548284,-1.3402630532650484e-05,0.0007446913894334822
pct_asian,-0.0010059694609437886,0.00012084746527272819,-8.324290945395667,8.483500586810838e-17,-0.0012428261405012908,-0.0007691127813862864
poverty_rate,0.0008325287703019654,0.0002343735105251986,3.5521453275004653,0.000382103757981613,0.00037316513074235684,0.001291892409861574
cdd65_2023,0.002088477693691001,0.00023563984569877506,8.863007389508988,7.788441599370213e-19,0.0016266320827988262,0.0025503233045831757
hdd65_2023,0.0018530421601381806,0.00017372719610329437,10.666390764957736,1.4619528003778583e-26,0.0015125431126405964,0.0021935412076357647
ghi_mean_kwh_m2_day_2023,0.0002811863283744635,0.00017731542347456563,1.5857973483891394,0.11278528740382061,-6.634551553915313e-05,0.0006287181722880802
log_median_housing_value,-0.004271298148219366,0.0002900691821206677,-14.725101498174741,4.448013454614798e-49,-0.004839823298200865,-0.003702772998237868
