,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.02208403611467291,0.00011309619021145515,195.26772805858928,0.0,0.021862371655069768,0.022305700574276055
log_median_household_income,-0.004264008987393489,0.00027241571569916023,-15.652580749424924,3.1901570613897457e-55,-0.004797933978986545,-0.003730083995800432
pct_black,0.00036990627299841476,0.00011723379174938562,3.1552871188298255,0.0016034022942067946,0.00014013226339855,0.0005996802825982795
pct_hispanic,0.0006057853927785853,0.00017880155996928914,3.38803192143645,0.0007039607091349333,0.0002553407748592,0.0009562300106979707
pct_asian,-0.00043936968389569144,9.493133748211397e-05,-4.6282891987956365,3.6869890351378294e-06,-0.0006254316863648521,-0.0002533076814265308
poverty_rate,0.0012098005368522812,0.00025835740219483177,4.682662569659799,2.8317244495642506e-06,0.0007034293334110814,0.0017161717402934809
cdd65_2023,0.002773275516352956,0.00022238825394946848,12.470422637443367,1.0825038261968691e-35,0.0023374025480272505,0.0032091484846786616
hdd65_2023,0.001932332397569356,0.00016836105021378372,11.477312567934765,1.7152946440952513e-30,0.0016023508027510004,0.0022623139923877117
ghi_mean_kwh_m2_day_2023,0.00013240825324046344,0.00016617591752460774,0.7967956802215707,0.4255697043272795,-0.00019329056020566616,0.000458107066686593
pct_multifamily_units,-0.003136246654102153,0.00014129515462430855,-22.196420411168088,3.7191446274235823e-109,-0.003413180068355816,-0.0028593132398484905
pct_mobile_home_units,2.117045899355547e-05,0.00017712357097021707,0.11952366857551237,0.9048604896318323,-0.00032598536092119423,0.0003683262789083051
pct_other_housing_units,0.00012075265257764482,0.0001479235597433336,0.8163179197902363,0.41431832792090295,-0.00016917219698424807,0.0004106775021395377
