,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.022088217279639857,0.00011329458571966516,194.96269075288993,0.0,0.021866163971985927,0.022310270587293787
log_median_household_income,-0.004215613266306936,0.00025433698628776974,-16.57491239413043,1.058170219842702e-61,-0.004714104599367422,-0.003717121933246449
pct_black,0.00037245599683606427,0.00011632970001808147,3.201727476114632,0.0013660616936792623,0.00014445397446827613,0.0006004580192038524
pct_hispanic,0.0005757565158270187,0.0002044403638416631,2.816256560142575,0.004858684931650019,0.00017506076571109424,0.0009764522659429431
pct_asian,-0.00044020721224445077,9.186626679650288e-05,-4.791826506018511,1.6526979112850812e-06,-0.0006202617865597442,-0.00026015263792915735
poverty_rate,0.0011944721047146536,0.00026497691180504254,4.507834650867581,6.549258247084005e-06,0.000675126900842124,0.0017138173085871834
cdd65_2023,0.0027924561645770378,0.0002277870435517657,12.259064962763954,1.5022326725490203e-34,0.0023460017630707202,0.0032389105660833553
hdd65_2023,0.00194614021823607,0.00016756195097062513,11.614451890556245,3.4801293468461514e-31,0.0016177248291543783,0.0022745556073177613
ghi_mean_kwh_m2_day_2023,0.00013632977559941808,0.00016518519701486618,0.8253147259142646,0.4091929335713449,-0.0001874272613288729,0.00046008681252770903
pct_multifamily_units,-0.003285177470349083,0.00034501096709530686,-9.52195084697576,1.699580293995655e-21,-0.003961386540127218,-0.0026089684005709476
pct_mobile_home_units,3.1076174328519494e-05,0.00017403913370407328,0.1785585440879046,0.8582843482809934,-0.00031003425963201515,0.00037218660828905415
pct_other_housing_units,0.00011960709234519702,0.0001480921133039487,0.807653356257479,0.4192901619605536,-0.0001706481161249674,0.00040986230081536143
owner_occupied_rate,-0.00020075952846785187,0.0003955179085512691,-0.507586443312284,0.611743399866754,-0.0009759603844689459,0.0005744413275332423
