,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.021313104400956517,0.0001572631465221039,135.52510471969276,0.0,0.021004874297677747,0.021621334504235288
log_median_household_income_c,-0.004820696339044092,0.00031299221319658604,-15.401968917406515,1.5876072374802648e-53,-0.005434149804350882,-0.004207242873737301
pct_black_c,8.012326115862456e-05,0.00011069698073392838,0.7238071050122775,0.46918416677037433,-0.00013683883427719932,0.0002970853565944484
pct_hispanic_c,0.00023427922053567262,0.00017979479686651585,1.303036709730857,0.19256222910506582,-0.00011811210593039344,0.0005866705470017387
pct_asian_c,-0.0016228172713441725,0.00018826049674990845,-8.620062622590321,6.691750613625679e-18,-0.001991801064685613,-0.001253833478002732
poverty_rate,-0.00024253417404881736,0.000260583953908066,-0.9307333410651348,0.3519915185008572,-0.0007532693386576721,0.00026820099056003744
cdd65_2023,0.0034435274074173317,0.00024980096001052447,13.785084762173256,3.1339827328868466e-43,0.0029539265224931737,0.00393312829234149
hdd65_2023,0.0029776354538354295,0.0001918584395708463,15.519960761152223,2.5420637988967177e-54,0.0026015998221465162,0.0033536710855243427
ghi_mean_kwh_m2_day_2023,0.0004939142516235071,0.0001951849994476762,2.530492881221193,0.011390239625885546,0.0001113586823835914,0.0008764698208634228
log_median_household_income_c:pct_black_c,0.00018911307679720627,0.00019417747665267273,0.9739187060066435,0.3300969050028342,-0.00019146778405089947,0.000569693937645312
log_median_household_income_c:pct_hispanic_c,-0.001012531841336445,0.00021606569901359282,-4.686222042457309,2.782943354296203e-06,-0.0014360128296975585,-0.0005890508529753317
log_median_household_income_c:pct_asian_c,0.0007454657247017419,0.00015857682184232044,4.700975313044107,2.589218197420795e-06,0.00043466086510796927,0.0010562705842955145
