,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.02268464212505753,0.0005464620063788726,41.511837712885445,0.0,0.021613596273635443,0.02375568797647962
C(utility)[T.San Diego Gas & Electric],-0.0008277037773781171,0.0009031818762633479,-0.9164308973985401,0.3594409359708598,-0.0025979077263435903,0.0009425001715873563
C(utility)[T.Southern California Edison],-0.0007558826083990717,0.00082156829492446,-0.9200484160219111,0.35754745890565764,-0.0023661268772909947,0.0008543616604928512
log_median_household_income,-0.004167180428742477,0.000541189186991288,-7.700043771956515,1.3601962899116313e-14,-0.005227891744067914,-0.0031064691134170394
pct_black,-5.509318767397028e-05,0.0002222613274212635,-0.24787572499983,0.8042305625173962,-0.0004907173845757114,0.0003805310092277709
pct_hispanic,0.0006458247169816234,0.00034502095642109773,1.871841999630292,0.061228465772694904,-3.0403931515291687e-05,0.0013220533654785386
pct_asian,-0.0009440438865006831,0.00019553612656512774,-4.827976819855066,1.3792714346399023e-06,-0.001327287652244799,-0.000560800120756567
poverty_rate,0.0005606568157986647,0.0004133104701137099,1.3565028140816682,0.1749392406131336,-0.00024941682005752506,0.0013707304516548545
cdd65_2023,0.003752045667235989,0.0004121916055836893,9.102673650820364,8.813493795313159e-20,0.0029441649655622187,0.004559926368909759
hdd65_2023,0.002925893639081069,0.0004204023749894468,6.959745741575596,3.4088740551306452e-12,0.002101920125086651,0.0037498671530754872
ghi_mean_kwh_m2_day_2023,0.0005918397939397685,0.0003633173413483936,1.6289885633954346,0.10331544003718013,-0.000120249110061928,0.0013039286979414648
