,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.018262797583379096,0.0006131995817615708,29.782795237587397,6.526041755801723e-195,0.017060948487791393,0.019464646678966798
C(county_geoid)[T.06003],0.008842145689556777,0.0020511891543008223,4.3107412453976,1.6270821030684654e-05,0.0048218888216479934,0.012862402557465562
C(county_geoid)[T.06005],0.01194500487498799,0.0011266704130266207,10.60204007922746,2.915498624569069e-26,0.009736771443008947,0.014153238306967034
C(county_geoid)[T.06007],0.010671845783881787,0.001571097743456863,6.792604615675078,1.101269003258005e-11,0.007592550790514186,0.013751140777249388
C(county_geoid)[T.06009],0.014220111779835547,0.001451993201652693,9.793511266891526,1.2005283839657502e-22,0.011374257398799265,0.01706596616087183
C(county_geoid)[T.06011],0.008435608602167738,0.0015212318870714467,5.545248343700771,2.935372413526947e-08,0.0054540488913738,0.011417168312961676
C(county_geoid)[T.06013],0.0034788577395518184,0.0006871259350209513,5.06291141440578,4.129017444925946e-07,0.002132115654067344,0.004825599825036293
C(county_geoid)[T.06015],0.004134909641817332,0.001602745038499879,2.5798923362679584,0.009883112226226919,0.0009935870899573066,0.007276232193677358
C(county_geoid)[T.06017],0.008143207215706905,0.000825917471148225,9.859589487053563,6.230359303656535e-23,0.006524438718053985,0.009761975713359825
C(county_geoid)[T.06019],0.011172854987388464,0.0009939045136870273,11.241376644866218,2.553686488404956e-29,0.009224837936490093,0.013120872038286834
C(county_geoid)[T.06021],0.009041588002644489,0.0012468056663716884,7.251802142475247,4.1126237460819277e-13,0.0065978938008355165,0.01148528220445346
C(county_geoid)[T.06023],0.009311023930837697,0.0011047702057846228,8.42801867943649,3.515669513129511e-17,0.007145714116306932,0.011476333745368461
C(county_geoid)[T.06025],0.012030317084877177,0.002427221852797568,4.956414293572411,7.180602024892334e-07,0.007273049670905363,0.01678758449884899
C(county_geoid)[T.06027],0.010509614661077837,0.0012781096244843923,8.222780315356413,1.9883885753261583e-16,0.008004565828794415,0.013014663493361259
C(county_geoid)[T.06029],0.012523803005050018,0.001201055587605073,10.427330037257237,1.8604253949677577e-25,0.010169777309913483,0.014877828700186552
C(county_geoid)[T.06031],0.01129235030546611,0.0011502382254899564,9.817401348017288,9.475462366774459e-23,0.009037924809864534,0.013546775801067687
C(county_geoid)[T.06033],0.01010518936821061,0.001576845874775183,6.408482610674519,1.4697503908094573e-10,0.007014628244480695,0.013195750491940526
C(county_geoid)[T.06035],0.015321073487517304,0.004366752816043413,3.5085735632270754,0.0004505166237263902,0.0067623952386833535,0.023879751736351255
C(county_geoid)[T.06037],4.767445149256559e-05,0.0006581547765295376,0.07243653498034894,0.9422545104384618,-0.0012422852067583358,0.0013376341097434668
C(county_geoid)[T.06039],0.01000968269733609,0.0008659463489100763,11.559241181552162,6.6291988065927e-31,0.008312459040928385,0.011706906353743796
C(county_geoid)[T.06041],0.0007305093601756098,0.001058202088726452,0.6903306730898434,0.48998626289864466,-0.001343528622093295,0.0028045473424445143
C(county_geoid)[T.06043],0.009887997046467143,0.0016057947744620219,6.157696614612443,7.381057972533993e-10,0.0067406971219589615,0.013035296970975326
C(county_geoid)[T.06045],0.00961617970689551,0.0013019968143140276,7.38571677071415,1.5163427098167046e-13,0.007064312842854132,0.012168046570936888
C(county_geoid)[T.06047],0.008111610516593848,0.000950808697706903,8.531275046344115,1.4474344589903397e-17,0.006248059712900886,0.009975161320286809
C(county_geoid)[T.06049],0.00847601968681237,0.0011155565732690438,7.598018684049447,3.006989253108304e-14,0.006289568980488127,0.010662470393136614
C(county_geoid)[T.06051],0.01193396420655455,0.0028142506724799557,4.240547696498613,2.2297504622854343e-05,0.006418134245026209,0.01744979416808289
C(county_geoid)[T.06053],0.0006982525420981058,0.0008387488716610778,0.8324929733917498,0.40513074271079985,-0.0009456650384312147,0.002342170122627426
C(county_geoid)[T.06055],0.0024086469428271843,0.0007399060513621836,3.2553415915342376,0.0011325605661389627,0.0009584577302140611,0.0038588361554403074
C(county_geoid)[T.06057],0.010847510892749889,0.0010499724076642525,10.33123424346078,5.090136252752727e-25,0.008789602788967146,0.012905418996532633
C(county_geoid)[T.06059],-0.0006688658100367987,0.0006508845290232062,-1.027625915522339,0.3041258288454931,-0.0019445760450165985,0.000606844424943001
C(county_geoid)[T.06061],0.007392242725182117,0.0011377261793896758,6.497382989945461,8.172921305163272e-11,0.005162340389309995,0.009622145061054238
C(county_geoid)[T.06063],0.014592708626165025,0.0031868421803542433,4.579049667449465,4.670932850755217e-06,0.00834661272825761,0.02083880452407244
C(county_geoid)[T.06065],0.00792928920218541,0.0009127471506695569,8.687279052439422,3.712234722831092e-18,0.006140337659881524,0.009718240744489296
C(county_geoid)[T.06067],0.0018611785568300092,0.0007997435786476739,2.3272191318837074,0.019953605263466352,0.0002937099458133921,0.0034286471678466263
C(county_geoid)[T.06069],0.0009011757679407225,0.0007096774892205394,1.269838457086347,0.20414217887871366,-0.0004897665515703473,0.0022921180874517924
C(county_geoid)[T.06071],0.008680436390938571,0.0009743227169572463,8.909200452645786,5.140190277539888e-19,0.006770798956383156,0.010590073825493988
C(county_geoid)[T.06073],0.0006450439684280699,0.0006867539929657861,0.9392649697490814,0.3475947192428689,-0.0007009691240239445,0.0019910570608800845
C(county_geoid)[T.06075],-0.0047907862661843836,0.0008808775820658583,-5.438651594412132,5.3685320144010765e-08,-0.006517274601822192,-0.0030642979305465752
C(county_geoid)[T.06077],0.008446521835096915,0.0009586340853203265,8.810996775974766,1.2403793512256935e-18,0.006567633553516578,0.010325410116677253
C(county_geoid)[T.06079],-0.001578363376905193,0.0009707804998255276,-1.625870500271547,0.10397720679814604,-0.003481058193457019,0.0003243314396466333
C(county_geoid)[T.06081],-0.0007664939695945833,0.000795677471970109,-0.9633224473438126,0.33538573172722275,-0.0023259931579658753,0.0007930052187767088
C(county_geoid)[T.06083],-0.0012010475661951214,0.0017015491161217397,-0.7058553613383857,0.4802780898249046,-0.004536022551719693,0.002133927419329451
C(county_geoid)[T.06085],-0.0007874740535847609,0.0007480721588396178,-1.0526712487285477,0.29249169020515886,-0.0022536685427475382,0.0006787204355780165
