,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.022560942115350924,0.00014064314457834073,160.4126684097573,0.0,0.022285286617304917,0.02283659761339693
log_median_household_income,-0.00403905576457879,0.00028384608894065126,-14.229739009802973,5.990492470713769e-46,-0.004595383876055019,-0.0034827276531025604
pct_black,3.587533100365306e-05,0.00010875668607766405,0.32986782052217173,0.7414998392889629,-0.00017728385678649722,0.00024903451879380336
pct_hispanic,0.0003922347950151095,0.0001917329158929589,2.0457353041774384,0.04078242028329901,1.6445185214062697e-05,0.0007680244048161563
pct_asian,-0.0010111721118762076,0.00012252580405258098,-8.252727820845568,1.548193813613553e-16,-0.0012513182749960782,-0.000771025948756337
poverty_rate,0.0008532188743830485,0.00026995366479341066,3.160612303729965,0.001574378999519699,0.0003241194138933652,0.0013823183348727318
cdd65_2023,0.00392976320769482,0.00023784489858490627,16.522377528698463,2.532162922668916e-61,0.0034635957725618217,0.004395930642827818
hdd65_2023,0.003191822071284782,0.00019126914407628003,16.687595308168742,1.6133953734229216e-62,0.0028169414375414704,0.0035667027050280934
ghi_mean_kwh_m2_day_2023,0.0004377844239377504,0.000191148791450722,2.2902808885956825,0.02200503896355196,6.313967700597746e-05,0.0008124291708695233
log_kwh,0.00019468552424051357,0.0002910826063749992,0.6688325581010564,0.5036022953347665,-0.0003758259007805341,0.0007651969492615612
