,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.02219954546977233,0.00019012852754317697,116.76072894811094,0.0,0.021826900403354072,0.022572190536190587
pct_black,0.0006481064414128828,0.00015004770150253794,4.319336017299276,1.564993450236666e-05,0.00035401835050489187,0.0009421945323208737
pct_hispanic,0.0021868151338733217,0.0002407832687020016,9.082089240094875,1.0651038970912232e-19,0.001714888599137568,0.0026587416686090753
pct_asian,-0.0016709467541717907,0.00016573666178413437,-10.08193803461623,6.64032542920237e-24,-0.00199578464218659,-0.0013461088661569916
log_kwh,-0.0002449450690184693,0.0001932963236566579,-1.267199832799471,0.20508384555994996,-0.0006237989017295164,0.00013390876369257778
cdd65_2023,0.0054547438762713165,0.0003447473084969356,15.822440790193443,2.178797349869417e-56,0.004779051567850204,0.006130436184692429
hdd65_2023,0.004309906139426619,0.00025285501498246694,17.044969979043007,3.809396996516321e-65,0.0038143194167506484,0.0048054928621025905
ghi_mean_kwh_m2_day_2023,0.00030807087889113806,0.0002305139259614595,1.3364523536102786,0.1814014640452255,-0.0001437281139282551,0.0007598698717105313
y_pv,0.0004422324595447831,0.0002850736940125725,1.551291714504108,0.1208317915187062,-0.00011650171365965061,0.0010009666327492168
y_storage,-0.00013628809447683603,0.0002779136269063272,-0.49039730794767006,0.6238527812736089,-0.0006809887940261391,0.0004084126050724671
y_chargers,-0.000781754332965918,0.000175572893745555,-4.452591264451434,8.484016060034147e-06,-0.0011258708813686835,-0.0004376377845631525
