,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.02244020113827512,0.0001330070768924554,168.71433958675323,0.0,0.02217951205787696,0.022700890218673282
log_median_household_income,-0.0011311428390656476,0.00032818575354934243,-3.4466543012068356,0.0005675743448577251,-0.001774375096261497,-0.00048791058186979826
pct_black,-6.3511876126932836e-06,0.00010688759303865324,-0.059419315489652146,0.9526181287037022,-0.00021584702036262784,0.00020314464513724125
pct_hispanic,-0.0006740623593035391,0.000298290033212444,-2.259754883675472,0.023836467917736723,-0.001258700081347186,-8.942463725989227e-05
pct_asian,-0.0008272001745650513,0.00011161844396347991,-7.410963145443062,1.2538542854192384e-13,-0.0010459683047438742,-0.0006084320443862284
poverty_rate,0.0014947490368947985,0.00026298835835755036,5.683708002247714,1.3180524332512122e-08,0.0009793013261606865,0.0020101967476289107
cdd65_2023,0.002411004216587435,0.0002533953841360421,9.51479137951867,1.8207786161789705e-21,0.0019143583898321003,0.00290765004334277
hdd65_2023,0.002038536805398262,0.0001892389926865534,10.772287341302851,4.652955851270846e-27,0.0016676351952619787,0.0024094384155345454
ghi_mean_kwh_m2_day_2023,0.00023134060769410767,0.0001943272081111558,1.1904694661273583,0.23386192415054774,-0.00014953372141997755,0.0006122149368081929
pct_bachelors_plus,-0.0017930271765973476,0.00037633125295213297,-4.764491820788027,1.8933019671549962e-06,-0.002530622878640361,-0.001055431474554334
log_median_housing_value,-0.0030317587588109068,0.0003599820627617377,-8.421971738123922,3.702003797337858e-17,-0.00373731063690435,-0.0023262068807174633
