,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.02230798451653465,0.0001246481442309215,178.96764251224772,0.0,0.02206367864310229,0.022552290389967013
log_median_household_income,-0.003002455551048304,0.00034927397690866766,-8.596276131483515,8.234452798436568e-18,-0.0036870199665263673,-0.0023178911355702407
pct_black,0.0003296745873822644,0.00011362145338135529,2.901517077727879,0.003713605370469641,0.00010698063088371133,0.0005523685438808175
pct_hispanic,1.0332569497178476e-05,0.0003498034756823394,0.029538212783687724,0.9764353428335226,-0.0006752696445071393,0.0006959347835014964
pct_asian,-0.000438999940233248,8.402002647749867e-05,-5.2249440834301115,1.7420774629105455e-07,-0.0006036761661092472,-0.00027432371435724885
poverty_rate,0.0016796921857140388,0.00026979922740025817,6.225711622302561,4.793751055325054e-10,0.0011508954169528007,0.002208488954475277
cdd65_2023,0.0020642820076325246,0.0002479131301948122,8.326634438484136,8.317307724992067e-17,0.0015783812011561033,0.002550182814108946
hdd65_2023,0.0016205979792518696,0.0001669621547041837,9.706379161931485,2.8321975461176447e-22,0.0012933581692504649,0.0019478377892532743
ghi_mean_kwh_m2_day_2023,8.666178518163827e-05,0.00017293057799029886,0.5011362720738716,0.6162752208613459,-0.00025227591950504247,0.000425599489868319
pct_bachelors_plus,0.00018889251829778286,0.0004043717335826676,0.46712592055885305,0.6404097901621705,-0.0006036615158902714,0.0009814465524858372
log_median_housing_value,-0.0026827853592241765,0.0003151738860056386,-8.512080087676363,1.7084050840627917e-17,-0.003300514824662761,-0.002065055893785592
pct_multifamily_units,-0.0028546717252660456,0.000304770225035943,-9.366635880947296,7.488118079369318e-21,-0.0034520103898966615,-0.0022573330606354297
pct_mobile_home_units,-0.0005781538596472817,0.00018284174186501876,-3.16204524059992,0.0015666522290281528,-0.0009365170885732879,-0.00021979063072127554
pct_other_housing_units,3.086546263860344e-06,0.00017408609897698958,0.017729998443289367,0.9858542491090956,-0.0003381159379401144,0.0003442890304678351
owner_occupied_rate,-0.00019387205771018474,0.0003743105688360522,-0.5179443858960354,0.6044970723433278,-0.0009275072916615477,0.0005397631762411783
