feature,VIF
wind_capacity_mw,12.226168623489148
wind_turbine_count,12.217028600250185
log_median_household_income,8.146123505735382
pct_bachelors_plus,8.143058440465284
owner_occupied_rate,6.3373893769433725
log_median_housing_value,5.741220391531667
pct_multifamily_units,5.5949880250302
pct_hispanic,3.193287670125267
poverty_rate,2.8207505273211217
PV_system_size_DC,1.7950317682912884
storage_capacity_mw,1.6600582483109367
pct_mobile_home_units,1.6185182243838532
pct_asian,1.4023647235868437
log_kwh,1.255009205121067
pct_black,1.1654539579526604
pct_other_housing_units,1.1222594078068258
plant_capacity_mw,1.093314640857232
