,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,3.798170044800974,0.05978949079842363,63.52571319943594,0.0,3.6809847961820745,3.915355293419873
log_median_household_income,-0.5268372489307828,0.14625817042449601,-3.6021047398699415,0.00031565112728584876,-0.8134979954075163,-0.24017650245404926
pct_black,0.09066532059174566,0.05820008974988893,1.5578209755581809,0.1192756922455037,-0.023404759215035403,0.20473540039852672
pct_hispanic,0.30910267792388435,0.07088205863200513,4.360802774206057,1.2958613213444177e-05,0.17017639585509786,0.44802895999267084
pct_asian,0.26530616178319893,0.09459920030238354,2.804528589408321,0.005039021855043267,0.07989513622423661,0.45071718734216126
poverty_rate,0.26542949485416434,0.09727118882860872,2.7287575905117145,0.00635734173905328,0.07478146801669641,0.4560775216916323
cdd65_2023,0.32367452292519594,0.09882966876920254,3.275074448352901,0.0010563413150232299,0.12997193153353598,0.517377114316856
hdd65_2023,0.10716733009131421,0.08377980938457444,1.279154618261114,0.200842613205641,-0.057038078934082526,0.27137273911671095
ghi_mean_kwh_m2_day_2023,0.024460755945947876,0.07646021501468077,0.3199148202925048,0.7490329028520166,-0.1253985117330151,0.17432002362491086
log_median_housing_value,-0.5849306966027197,0.14827439756972408,-3.9449204056125993,7.982648940453112e-05,-0.8755431756687522,-0.2943182175366872
