,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,3.8213679813405066,0.07353921245677747,51.96367833809083,0.0,3.6772337734737834,3.9655021892072297
log_median_household_income_c,-0.6868311413473592,0.12415344230305539,-5.532115168186976,3.1639204408387044e-08,-0.9301674168180194,-0.44349486587669906
pct_black_c,0.06748649138526343,0.0758825413501084,0.8893546550305016,0.3738125066640928,-0.08124055671632045,0.2162135394868473
pct_hispanic_c,0.5059269605988919,0.08471892544015765,5.97182929280967,2.3460794774036773e-09,0.3398809179272487,0.671973003270535
pct_asian_c,0.03872349290703682,0.09235685232498399,0.41928121121730244,0.6750106263434529,-0.14229261137541616,0.21973959718948977
poverty_rate,0.2838499042413306,0.1032624437010797,2.74882032680738,0.005981016167476512,0.08145923363161942,0.4862405748510418
cdd65_2023,0.5600995463212721,0.08070690681618636,6.939920862001616,3.923196529673449e-12,0.40191691565791665,0.7182821769846276
hdd65_2023,0.16820500584777945,0.07183890492350108,2.3414194025771344,0.01921057326294668,0.027403339508920183,0.3090066721866387
ghi_mean_kwh_m2_day_2023,0.007409156147165094,0.07805612918985186,0.0949208758372349,0.9243776748645525,-0.14557804583755019,0.16039635813188036
log_median_household_income_c:pct_black_c,-0.04006478102741838,0.07161377416844152,-0.5594563544882121,0.5758503101560097,-0.18042519919454864,0.10029563713971186
log_median_household_income_c:pct_hispanic_c,0.3537612858422085,0.06580753447550669,5.375695787142384,7.628750338484309e-08,0.22478088835883744,0.48274168332557954
log_median_household_income_c:pct_asian_c,0.3467657721113969,0.09353490992301117,3.707340632463545,0.00020944713875849978,0.1634407173650969,0.5300908268576969
