,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,3.539447339252832,0.08980633488329227,39.41200076645503,0.0,3.363430157298036,3.715464521207628
C(utility)[T.San Diego Gas & Electric],1.0305763083257797,0.28689160516308915,3.5922149333715376,0.0003278792411825089,0.46827909473923957,1.59287352191232
C(utility)[T.Southern California Edison],0.6189660323105994,0.15548419193386917,3.98089364977926,6.865666371913155e-05,0.3142226159549027,0.9237094486662962
log_median_household_income,-0.8690790587913592,0.11715201348899996,-7.418387724705744,1.1855461450340064e-13,-1.0986927859461497,-0.6394653316365686
pct_black,0.07239000950762063,0.06036709462504774,1.199163384576476,0.23046442165623848,-0.045927321808794414,0.19070734082403568
pct_hispanic,0.3947315830422459,0.07379956781559156,5.34869775970221,8.858934035042874e-08,0.25008708804906515,0.5393760780354266
pct_asian,0.3102750106552432,0.09702463091634862,3.197899417136169,0.001384325556556689,0.12011022844590846,0.500439792864578
poverty_rate,0.2529928872189584,0.10346897575723271,2.4451086460211107,0.014480851201329548,0.050197421217534316,0.45578835322038247
cdd65_2023,0.6644181241041444,0.08990809849107675,7.3899697052328035,1.4686227096113293e-13,0.488201489143154,0.8406347590651347
hdd65_2023,0.4730860308354032,0.0861657748594853,5.4904169504294185,4.009860053156175e-08,0.30420421541082515,0.6419678462599812
ghi_mean_kwh_m2_day_2023,-0.049717152874074334,0.08679110519420026,-0.5728369602256965,0.5667550912077467,-0.21982459323313405,0.1203902874849854
