,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,3.539447339252832,0.09895581227901001,35.76795801820325,3.4791628246445905e-280,3.3454975111250658,3.7333971673805983
C(utility)[T.San Diego Gas & Electric],1.0305763083257797,0.25356709211941286,4.064314102085646,4.817391598353872e-05,0.5335939401071803,1.5275586765443792
C(utility)[T.Southern California Edison],0.6189660323105994,0.14483983108702392,4.273451768517369,1.9246993295024792e-05,0.33508517985316766,0.9028468847680312
log_median_household_income,-0.8690790587913592,0.1571255881771961,-5.531110934084573,3.182089940129675e-08,-1.1770395526683362,-0.5611185649143823
pct_black,0.07239000950762063,0.05203002335205973,1.3913122624949754,0.1641307569448036,-0.029586962377194423,0.17436698139243567
pct_hispanic,0.3947315830422459,0.09926613782539326,3.976497843973433,6.993763269462276e-05,0.20017352802008598,0.5892896380644059
pct_asian,0.3102750106552432,0.10863438892476916,2.8561398809921323,0.004288261613723447,0.09735552088017874,0.5231945004303077
poverty_rate,0.2529928872189584,0.12997578459362746,1.9464617044624657,0.051599303766853795,-0.0017549694468874666,0.5077407438848043
cdd65_2023,0.6644181241041444,0.12641682590449047,5.255772871612208,1.4740411783052752e-07,0.4166456982914729,0.9121905499168158
hdd65_2023,0.4730860308354032,0.10878100756252147,4.348976364863129,1.3677445036160467e-05,0.2598791738108819,0.6862928878599245
ghi_mean_kwh_m2_day_2023,-0.049717152874074334,0.06915516598243107,-0.71892174890745,0.47218913511168026,-0.18525878754452874,0.08582448179638008
