,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,3.798255832247223,0.059733764268846454,63.58641345876414,0.0,3.681179805619278,3.9153318588751675
log_median_household_income,-0.9888510406662081,0.11628103394762536,-8.503975301007392,1.832065325148399e-17,-1.2167576792886332,-0.760944402043783
pct_black,0.06866991403702952,0.059454874264571356,1.1549921665203038,0.24809363433793563,-0.047859498226887676,0.1851993263009467
pct_hispanic,0.3124869221978342,0.071267096519061,4.384729243378911,1.1613012984370632e-05,0.17280597973773476,0.4521678646579336
pct_asian,0.23800463162173102,0.09399590763735985,2.532074402004424,0.011338992837117222,0.05377603795835231,0.42223322528510976
poverty_rate,0.19622308977495456,0.0946413184583763,2.0733342790575597,0.038141180623169554,0.010729514147151176,0.38171666540275795
cdd65_2023,0.5439516078146265,0.08076246970306541,6.735202747198558,1.6370150610965407e-11,0.385660075894111,0.702243139735142
hdd65_2023,0.29598392440615506,0.0743089108685118,3.9831551956116407,6.800631305806944e-05,0.15034113537347496,0.4416267134388352
ghi_mean_kwh_m2_day_2023,0.0005036991425897318,0.07735648071606539,0.006511401991496281,0.9948046895939333,-0.15111221703166564,0.15211961531684512
plant_capacity_mw,0.1470713390208725,0.07117896830963126,2.066219032300475,0.038807802553203374,0.0075631246772773775,0.2865795533644676
storage_capacity_mw,0.2210408241604218,0.08328092777774262,2.654159002050604,0.007950635308663332,0.057813205116964916,0.3842684432038787
wind_capacity_mw,0.08015442638833936,0.17766528445640334,0.45115412745706196,0.6518784686918466,-0.26806313244927504,0.42837198522595377
wind_turbine_count,-0.021545919031999778,0.178498823981156,-0.12070622400444704,0.9039237290036655,-0.37139718531782,0.3283053472538205
PV_system_size_DC,0.0741010396878211,0.07156616420309823,1.0354200272286374,0.3004727967699865,-0.0661660646619311,0.21436814403757332
