,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,3.86625783431677,0.06372697839847705,60.66909072860053,0.0,3.741355251812193,3.991160416821347
log_median_household_income,-0.9383769683775512,0.1191654264369922,-7.8745739971291995,3.419058039075162e-15,-1.1719369123964132,-0.7048170243586893
pct_black,0.08602283005933288,0.060288323715284205,1.426857221401306,0.15362105356973732,-0.03214011311091619,0.20418577322958195
pct_hispanic,0.35908118690046,0.0774470080155263,4.6364759091593655,3.543994784084827e-06,0.20728784047964355,0.5108745333212764
pct_asian,0.24388703996277414,0.09589042165844695,2.5433931329604307,0.010978163322401157,0.055945267049858555,0.43182881287568975
poverty_rate,0.15901550178570312,0.10473109236364189,1.5183218106193117,0.128933291961093,-0.04625366730857286,0.36428467087997907
cdd65_2023,0.6660554822859934,0.09091368937788764,7.326239720813638,2.3670023435282877e-13,0.48786792540367196,0.8442430391683149
hdd65_2023,0.30565796095716674,0.08879625245669692,3.4422394245323167,0.0005769193832972967,0.13162050417991447,0.47969541773441904
ghi_mean_kwh_m2_day_2023,0.03163421950939278,0.0801475299328098,0.3946998683042727,0.6930643999745626,-0.12545205260876036,0.18872049162754595
log_kwh,0.11741870178391817,0.07612861169513409,1.5423728236912433,0.12298302162175527,-0.03179063533157939,0.2666280388994157
