outcome,outcome_label,model,n_obs,cv_r2_mean,cv_r2_sd,cv_rmse_mean,cv_rmse_sd
y_pv,Solar PV adoption,XGBoost,1386,0.35464086485794927,0.029864101108947414,0.2683203494405382,0.015232986552043883
y_pv,Solar PV adoption,Random Forest,1386,0.2806295304417663,0.05046246889144882,0.282951240763004,0.013448946803438234
y_pv,Solar PV adoption,Polynomial deg 2,1386,0.22055849100760522,0.026909630125834496,0.2949207680998319,0.01606118697698618
y_pv,Solar PV adoption,Linear,1386,0.1740347496183501,0.019416872389058808,0.30358562360297264,0.015614336883798251
y_chargers,EV charger availability,XGBoost,1386,0.19390750183022262,0.04050882742749323,0.6396729545624675,0.012283717044217105
y_chargers,EV charger availability,Random Forest,1386,0.18348363936727077,0.02334805123871498,0.6440386671076016,0.009940403522207313
y_chargers,EV charger availability,Linear,1386,0.17592822263308044,0.05311772436596042,0.6465236008819224,0.014751783129746706
y_chargers,EV charger availability,Polynomial deg 2,1386,0.15952427413455061,0.04483950272078744,0.6531768279906414,0.015886106628122308
y_storage,Storage deployment,XGBoost,1386,0.35445910850581613,0.05490081781091726,0.756986498872281,0.05669309233976819
y_storage,Storage deployment,Random Forest,1386,0.30410522788669025,0.03915171579478261,0.7860928326706362,0.04878049937986959
y_storage,Storage deployment,Linear,1386,0.2651927132943809,0.03565487833876045,0.8085208551079122,0.05862280587643024
y_storage,Storage deployment,Polynomial deg 2,1386,0.2429242724186885,0.0702821330665066,0.8191394592130351,0.057133481470388645
y_wind_mw,Wind capacity,Linear,1386,-0.02036901533163158,0.06516206397776912,0.7752075166927577,0.23360704817703964
y_wind_mw,Wind capacity,Polynomial deg 2,1386,-0.16267740836252215,0.3289222345582917,0.7952818517692748,0.18667710178107663
y_wind_mw,Wind capacity,XGBoost,1386,-0.1802293055141069,0.31487946772324243,0.8022498190792273,0.18709037870962542
y_wind_mw,Wind capacity,Random Forest,1386,-0.21968666457769986,0.4216281676070329,0.8074373779423298,0.184861190108768
energy_burden_pct,Energy burden,XGBoost,1370,0.8486044527107601,0.046849401163564404,0.0036520573099100193,0.000649491564047303
energy_burden_pct,Energy burden,Polynomial deg 2,1370,0.8325381338595592,0.04368245762788444,0.00384745051006946,0.0005970934401217772
energy_burden_pct,Energy burden,Random Forest,1370,0.8177062706397076,0.04718843584357388,0.004016400231113022,0.0006282993624700845
energy_burden_pct,Energy burden,Linear,1370,0.806259049696118,0.04418673205436218,0.004146740922455814,0.000578554325294243
log_energy_gap_per_capita,Log energy affordability gap per capita,XGBoost,1370,0.34762144974592235,0.023191396962757262,2.17284524086216,0.05580466520577635
log_energy_gap_per_capita,Log energy affordability gap per capita,Random Forest,1370,0.3372772359173738,0.01264561553328608,2.1903723284729364,0.05086172182135531
log_energy_gap_per_capita,Log energy affordability gap per capita,Polynomial deg 2,1370,0.3196614543465838,0.023333357312439237,2.219144070874019,0.06456442009218012
log_energy_gap_per_capita,Log energy affordability gap per capita,Linear,1370,0.3108755609006425,0.013624598299873199,2.233537080046089,0.05127045001299194
