,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.6941798416206653,0.01716534155797625,40.44078233317178,0.0,0.6605363903847031,0.7278232928566274
log_median_household_income,0.1598968461732869,0.04259861442491153,3.753569178996107,0.00017433439057436742,0.07640509610915187,0.24338859623742193
pct_black,-0.035368991765733326,0.02440754924709878,-1.4491004978690143,0.14730951901993258,-0.08320690924093466,0.012468925709467997
pct_hispanic,-0.08567582550795615,0.02352768570714985,-3.6414897144737037,0.00027106495696835743,-0.13178924213354765,-0.03956240888236465
pct_asian,-0.007674077326830001,0.018619320308021766,-0.4121566845554387,0.6802245833339291,-0.04416727454716789,0.028819119893507883
poverty_rate,0.05930082942280543,0.034591318149297175,1.7143269639757945,0.08646869370642449,-0.00849690832758375,0.12709856717319462
cdd65_2023,0.005383127877207208,0.02552623787176946,0.21088606571204271,0.8329761775679568,-0.04464737901226329,0.05541363476667771
hdd65_2023,0.10386609433524074,0.027510468757272,3.7755116152931865,0.0001596795830608685,0.04994656637317325,0.15778562229730825
pct_multifamily_units,0.20726175920245798,0.05684033350535644,3.646385346822892,0.00026595505983027123,0.09585675266271404,0.31866676574220193
pct_mobile_home_units,0.05598209595337699,0.027176094246206244,2.0599757804119343,0.03940085624854093,0.0027179299903465626,0.10924626191640742
pct_other_housing_units,-0.02198758952043874,0.014549182499465508,-1.5112594485117288,0.13072236133847523,-0.05050346322389158,0.006528284183014099
owner_occupied_rate,-0.13721416717414617,0.06262227633417329,-2.1911398819475316,0.028441671438303583,-0.2599515734190408,-0.014476760929251556
