,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,1.2168397757125393,0.04983696109278242,24.41641201691904,1.1449282687699874e-131,1.1191611268717618,1.3145184245533168
log_median_household_income_c,0.10743705249184869,0.06140790047921836,1.749564008106864,0.08019357485632561,-0.012920220813639222,0.2277943257973366
pct_black_c,-0.02450100136229043,0.017296058939872322,-1.4165655567817634,0.15660998464883155,-0.058400653958922216,0.00939865123434135
pct_hispanic_c,-0.07716289393731413,0.029955365381639135,-2.575928984815869,0.00999711763905096,-0.13587433122906475,-0.01845145664556349
pct_asian_c,0.013664539917171436,0.022006427769041482,0.6209340316648135,0.5346430285619042,-0.029467265938531998,0.05679634577287487
poverty_rate,0.24659279956544652,0.056479426490373255,4.3660641562548,1.2650533688095689e-05,0.13589515777683747,0.3572904413540556
total_population,-1.1691315581698137e-05,1.1441703955334868e-06,-10.218159486854127,1.6443322379087345e-24,-1.393384834912072e-05,-9.448782814275555e-06
cdd65_2023,-0.10069296358263212,0.02377611278433756,-4.2350473559733155,2.2850354586087183e-05,-0.14729328833229607,-0.05409263883296816
hdd65_2023,0.0034195272846908164,0.029351875202508024,0.11650115234881582,0.907255372875455,-0.05410909099093921,0.06094814556032085
log_median_household_income_c:pct_black_c,-0.0174712526682083,0.02247516871457941,-0.7773580207598121,0.43694757234552783,-0.061521773895245324,0.026579268558828723
log_median_household_income_c:pct_hispanic_c,0.019448940052441518,0.034385576745453915,0.5656133150365973,0.5716566743750807,-0.047945551956286164,0.0868434320611692
log_median_household_income_c:pct_asian_c,0.06897576404206147,0.021821814960796836,3.1608628414262196,0.0015730255086792147,0.026205792641602346,0.1117457354425206
