,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.6537955637029279,0.01993985764379004,32.788376696688324,8.623278046352944e-236,0.6147141608642437,0.6928769665416121
log_median_household_income_c,-0.0748478208305606,0.029631855849948766,-2.5259241678813047,0.011539438637661496,-0.1329251910915427,-0.01677045056957851
pct_black_c,-0.011050516104060637,0.024924989046747954,-0.44335089108103076,0.6575119510210498,-0.05990259695074196,0.03780156474262068
pct_hispanic_c,-0.11053541214365681,0.02543357915360627,-4.34604235117981,1.3861581689001459e-05,-0.1603843112826738,-0.06068651300463981
pct_asian_c,0.04854451656907733,0.022661434063099933,2.142164367617111,0.03218025773109544,0.00412892196737228,0.09296011117078237
cdd65_2023,-0.1359722599261215,0.023436560128384347,-5.801715745880454,6.563976918546063e-09,-0.18190707369926223,-0.09003744615298076
hdd65_2023,-0.04039260134144898,0.029270791691917535,-1.379962720741936,0.16759812328110135,-0.09776229885658158,0.01697709617368362
log_median_household_income_c:pct_black_c,-0.050320543337944106,0.028087634557662874,-1.7915550430079077,0.07320427004791133,-0.10537129548188595,0.00473020880599774
log_median_household_income_c:pct_hispanic_c,-0.04025177772516074,0.026157315326819686,-1.5388344416175495,0.12384471926540065,-0.09151917369798487,0.011015618247663402
log_median_household_income_c:pct_asian_c,0.03305944404352887,0.021861911319496923,1.5121936760417531,0.13048459935323153,-0.009789114775893629,0.07590800286295137
