,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.6651202528149786,0.02915082697999933,22.816514031362615,3.1438298358005477e-115,0.6079856818146213,0.7222548238153358
C(utility)[T.San Diego Gas & Electric],0.060398207398803395,0.08389957245268263,0.7198869509480105,0.47159460297747446,-0.10404193292676342,0.2248383477243702
C(utility)[T.Southern California Edison],0.05920268596533046,0.05105567111090893,1.1595712029075802,0.24622343116219014,-0.04086459061857314,0.15926996254923406
log_median_household_income,0.07146223935401472,0.04175791174135691,1.7113460988337388,0.08701724112379297,-0.010381763728647075,0.1533062424366765
pct_black,-0.009216748981028521,0.02299670902939646,-0.40078556324067255,0.6885780087648238,-0.054289470441592644,0.035855972479535606
pct_hispanic,-0.08934833835012453,0.02720785310709778,-3.2839172572133597,0.0010237497420960157,-0.14267475053669237,-0.03602192616355667
pct_asian,0.05203991126086556,0.021374827588886286,2.4346353693127987,0.01490680283073152,0.010146019010895319,0.0939338035108358
poverty_rate,0.14480974060985977,0.03889825087517589,3.7227828334634587,0.0001970389906276141,0.06857056983291138,0.22104891138680816
cdd65_2023,-0.12646851025942615,0.026032330990192063,-4.858132385727364,1.1849817208016365e-06,-0.17749094143382851,-0.07544607908502379
hdd65_2023,-0.006306379983308027,0.03703027207734443,-0.17030336612531524,0.8647715641477574,-0.07888437959262233,0.06627161962600626
