,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.9591060674653952,0.02672497979122424,35.88799972751858,4.700950644828441e-282,0.9067260695870349,1.0114860653437554
log_median_household_income,0.05140815469147657,0.06211579081715851,0.8276181308356759,0.40788679696097196,-0.07033655818137793,0.17315286756433107
pct_black,-0.054826014480027684,0.028019129856068043,-1.9567350864093351,0.0503786224935409,-0.10974249987607199,9.047091601662588e-05
pct_hispanic,-0.1834484336653418,0.037185851261418795,-4.933285845083609,8.085768812359804e-07,-0.256331362872186,-0.11056550445849762
pct_asian,0.024335115246581187,0.031015089301685828,0.7846218016615044,0.4326753435904168,-0.036453342762016575,0.08512357325517894
poverty_rate,0.23196537212738638,0.05830414488543367,3.978539992022747,6.933974936835157e-05,0.11769134800253118,0.3462393962522416
cdd65_2023,-0.07752033751399569,0.03342521761338717,-2.31921713751081,0.020383265700278194,-0.1430325602116484,-0.01200811481634298
hdd65_2023,0.1248998100548727,0.03554033834933396,3.514311226505624,0.00044089591768740443,0.05524202689181042,0.19455759321793498
plant_mw_per_100k,0.10080924517576606,0.019008854017128027,5.303278413571453,1.1374124682727768e-07,0.0635525759148156,0.1380659144367165
storage_mw_per_100k,0.1766944738421071,0.03417150202908053,5.170813787808832,2.3307673695395808e-07,0.10971956056747188,0.2436693871167423
wind_mw_per_100k_ctrl,-0.14648184968951128,0.03821715912152166,-3.832881696510542,0.00012665086972692724,-0.22138610515913015,-0.07157759421989242
turbines_per_100k,0.1752961376264214,0.03492603189099047,5.019068246102153,5.192270285763295e-07,0.10684237299718272,0.2437499022556601
